,clust_assign
GSM3754774,1
GSM3754776,2
GSM3754778,1
GSM3754780,1
GSM3754782,1
GSM3754784,1
GSM3754786,1
GSM3754788,2
GSM3754790,1
GSM3754792,1
GSM3754794,1
GSM3754796,1
GSM3754798,1
GSM3754800,1
GSM3754802,1
GSM3754804,2
GSM3754806,1
GSM3754808,1
GSM3754810,1
GSM3754812,2
GSM3754814,1
GSM3754816,1
GSM3754818,1
GSM3754820,1
GSM3754822,1
GSM3754824,1
GSM3754826,1
GSM3754828,2
GSM3754830,1
GSM3754832,2
GSM3754834,2
GSM3754836,1
GSM3754838,2
GSM3754840,2
GSM3754842,1
GSM3754844,2
GSM3754846,2
GSM3754848,2
GSM3754850,2
GSM3754852,1
GSM3754854,2
GSM3754856,1
GSM3754858,1
GSM3754860,2
GSM3754862,1
GSM3754864,1
GSM3754866,2
GSM1479658,1
GSM1479659,2
GSM1479660,2
GSM1479661,2
GSM1479662,2
GSM1479663,1
GSM1479664,2
GSM1479665,2
GSM1479666,2
GSM1479667,2
GSM1479668,2
GSM1479669,2
GSM1479674,1
GSM1479675,2
GSM1479676,2
GSM1479677,2
GSM1479678,2
GSM1479679,2
GSM1479680,2
GSM1479681,2
GSM1479682,2
GSM1479683,2
GSM1479684,2
GSM1479685,2
