gene,logFC,P.Value
LOC100507464,-4.13068495350763,1.02312988375695e-21
DRD5,-3.01020654708391,2.72433507690365e-21
CHIA,-4.86161017729114,3.27894641166594e-21
FGA,-1.96080444145573,2.47814169061127e-20
RANBP3L,-1.72150750530266,3.09180869425463e-20
XYLT2,-1.51445565970223,3.18001653928856e-20
ZNF385B,-1.93018666795235,4.02410696030265e-20
GPER,-2.56558313258407,4.69397266425884e-20
GDF5,-3.17563546436903,8.44304375471682e-20
SNORA5A,-4.18261275597742,1.51362106094932e-19
SLC26A7,-2.12014189356913,1.88896850228047e-19
PTGER3,-2.64533336678745,8.81717312312806e-19
APLP1,-1.68268076951973,9.82717621535872e-19
PTPLA,-1.91699267713859,1.06874333323505e-18
FAM165B,-1.72049204387082,1.19062888417421e-18
TRIM15,2.05371395592621,1.20557181700639e-18
MYBPC3,-1.26424775011339,1.46640281933519e-18
XLOC_014356,-2.96245759619487,1.5676062242041e-18
ESRRG,-1.6991517339641,1.64722216898054e-18
THSD4,-1.53161640429814,1.89226505050225e-18
GPR155,-2.4314159578666,3.26069085391727e-18
CGNL1,-1.79503729906701,3.37789129347325e-18
AQP4,-2.35139808011001,3.75280585659381e-18
MUC17,3.17067947464108,5.17260561446283e-18
COBLL1,-0.907159760658044,5.45281352739632e-18
MUM1L1,-1.72480191734098,5.71507084438827e-18
FGB,-2.305852461821,7.13408236192572e-18
SH3GL2,-2.60550418424659,8.4939815497206e-18
FAR2,1.56116027921403,8.68304803622334e-18
LOC100506412,-3.48977930390901,1.09592809111301e-17
GRIA4,-1.75935736568253,1.22154215050162e-17
XLOC_003123,-1.98725587350341,1.47761169269078e-17
LINGO2,-1.9615339590415,1.55193264466597e-17
XLOC_010144,-3.99352037216403,1.91503227823823e-17
CKB,-2.25709476038501,2.12598480876393e-17
KCTD8,-1.96442788205503,2.25781706354429e-17
XLOC_014216,-2.079171241134,2.27701592199645e-17
AGXT2L1,-3.36140696565457,2.51776796500326e-17
C11orf86,3.14420559180956,2.56595818553781e-17
MFSD4,-2.31942082581378,2.59990159547897e-17
KIAA1191,-0.895880386573429,2.80241884645859e-17
RAP1GAP,-1.30176041657756,3.85923037323803e-17
PLCXD3,-1.98807116378407,4.38422587791159e-17
TMEM184A,-1.87528797771973,4.41645695774619e-17
SMARCD3,-1.52807555728369,4.78674535945887e-17
C8orf12,-1.88997546646698,5.16814987582315e-17
TRIM29,2.50045898019868,5.37080747101116e-17
STX12,-0.824193278760445,7.3483009027234e-17
XLOC_004339,-2.48408479334788,1.06595197814397e-16
SLC2A12,-2.1874749093578,1.49538458322868e-16
FLJ42875,-1.90102244902218,1.60421699451738e-16
FGF13,-1.42159164162003,2.19853746593903e-16
FGG,-2.96821296169902,2.58171058832611e-16
IGF1R,-0.939083739938948,2.97781898237878e-16
TBC1D14,-0.859201836571852,3.37337376110465e-16
C3orf18,-1.36507558306463,3.66395805094323e-16
FLJ37644,-1.4420217219095,3.71280079838471e-16
XLOC_001575,-2.52828591473849,3.84610442417409e-16
DUSP19,-1.41313881736132,6.60342175574019e-16
C14orf129,0.821854891464822,7.76992659034528e-16
LOC283731,-1.20265844881222,8.37044768816745e-16
PDCD6,-1.16235552240841,8.95899772930258e-16
XLOC_006599,-2.67689286863768,9.49993610098148e-16
XLOC_003780,-2.07810358751656,9.58359578275793e-16
CLIC6,-2.46343895824188,1.18776706815393e-15
XLOC_004638,-2.82024976031487,1.26247722550492e-15
