"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100507464",-4.13068495350763,6.30844115859329,-13.7332238022321,1.02312988375695e-21,3.00677410238491e-17,38.8450754140931
"DRD5",-3.01020654708391,5.21284301983121,-13.4758337130983,2.72433507690365e-21,3.21205590486796e-17,37.8977205438729
"CHIA",-4.86161017729114,6.35284125884979,-13.4273814764322,3.27894641166594e-21,3.21205590486796e-17,37.7183798921609
"FGA",-1.96080444145573,3.11937909218427,-12.9034457951525,2.47814169061127e-20,1.55757210094353e-16,35.758894698024
"RANBP3L",-1.72150750530266,2.72859724423642,-12.8466663338392,3.09180869425463e-20,1.55757210094353e-16,35.5443407795949
"XYLT2",-1.51445565970223,8.68836299314634,-12.8394545353775,3.18001653928856e-20,1.55757210094353e-16,35.5170588263209
"ZNF385B",-1.93018666795235,2.99260169169075,-12.7791646642104,4.02410696030265e-20,1.68943507641963e-16,35.2887156947712
"GPER",-2.56558313258407,5.87199572695431,-12.7397935773594,4.69397266425884e-20,1.72433085821549e-16,35.1393420463627
"GDF5",-3.17563546436903,5.77301941775503,-12.5901284477362,8.44304375471682e-20,2.75693522070687e-16,34.5696563656145
"SNORA5A",-4.18261275597742,8.0255738675655,-12.4419956165439,1.51362106094932e-19,4.44822957391787e-16,34.0029271600453
"SLC26A7",-2.12014189356913,3.50631897767576,-12.3859567398922,1.88896850228047e-19,5.04663694045621e-16,33.7877924155437
"PTGER3",-2.64533336678745,3.8036344587036,-11.9988123280504,8.81717312312806e-19,2.15932569785406e-15,32.2905975986729
"APLP1",-1.68268076951973,4.29852317322546,-11.9717270611581,9.82717621535872e-19,2.21433403488649e-15,32.1851455496515
"PTPLA",-1.91699267713859,4.2188325497354,-11.9507836003742,1.06874333323505e-18,2.21433403488649e-15,32.1035431764432
"FAM165B",-1.72049204387082,6.06909865612619,-11.9238488335836,1.19062888417421e-18,2.21433403488649e-15,31.9985169207062
"TRIM15",2.05371395592621,4.02484922454485,11.9207395788162,1.20557181700639e-18,2.21433403488649e-15,31.9863872846785
"MYBPC3",-1.26424775011339,4.72441821534248,-11.8719502544209,1.46640281933519e-18,2.53497917968368e-15,31.7958972337953
"XLOC_014356",-2.96245759619487,3.78107360658896,-11.8553412555863,1.5676062242041e-18,2.54781921589474e-15,31.7309832726135
"ESRRG",-1.6991517339641,4.23578601198487,-11.8430171639677,1.64722216898054e-18,2.54781921589474e-15,31.6827944052636
"THSD4",-1.53161640429814,3.85333605292904,-11.8085401065153,1.89226505050225e-18,2.780494265208e-15,31.5478857009691
"GPR155",-2.4314159578666,6.12219053470613,-11.6735849839445,3.26069085391727e-18,4.5122486060269e-15,31.0184165596742
"CGNL1",-1.79503729906701,6.70158108627733,-11.6648450036043,3.37789129347325e-18,4.5122486060269e-15,30.9840511983312
"AQP4",-2.35139808011001,3.50261052941479,-11.6388073636586,3.75280585659381e-18,4.79510689189474e-15,30.8816176205297
"MUC17",3.17067947464108,4.96095579434877,11.5595446842308,5.17260561446283e-18,6.33385557490974e-15,30.5692955659126
