"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term_type"
"1","GO:0010273","detoxification of copper ion","9/828","16/18860",0.5625,12.8125,10.1290289956629,5.03019687651464e-09,9.55217142766629e-06,8.84867559026141e-06,"MT3/MT2A/MT1E/MT1H/MT1B/MT1X/MT1M/MT1G/MT1F",9,"BP"
"2","GO:1990169","stress response to copper ion","9/828","16/18860",0.5625,12.8125,10.1290289956629,5.03019687651464e-09,9.55217142766629e-06,8.84867559026141e-06,"MT3/MT2A/MT1E/MT1H/MT1B/MT1X/MT1M/MT1G/MT1F",9,"BP"
"3","GO:0098659","inorganic cation import across plasma membrane","24/828","139/18860",0.172661870503597,3.93285371702638,7.43679533908575,8.27386004994915e-09,9.55217142766629e-06,8.84867559026141e-06,"SLC9A4/KCNJ11/ATP1B2/TRPV6/KCNQ1/SLC9A7/KCNJ8/SLC9A3/NEDD4L/KCNJ13/KCNJ10/PPP3CC/SLC8A2/ABCC8/SLC5A2/KCNJ12/SCNN1G/KCNJ18/KCNJ15/SCNN1B/KCNE2/KCNJ16/ATP4A/ATP4B",24,"BP"
"4","GO:0099587","inorganic ion import across plasma membrane","24/828","139/18860",0.172661870503597,3.93285371702638,7.43679533908575,8.27386004994915e-09,9.55217142766629e-06,8.84867559026141e-06,"SLC9A4/KCNJ11/ATP1B2/TRPV6/KCNQ1/SLC9A7/KCNJ8/SLC9A3/NEDD4L/KCNJ13/KCNJ10/PPP3CC/SLC8A2/ABCC8/SLC5A2/KCNJ12/SCNN1G/KCNJ18/KCNJ15/SCNN1B/KCNE2/KCNJ16/ATP4A/ATP4B",24,"BP"
"5","GO:0001696","gastric acid secretion","8/828","14/18860",0.571428571428571,13.015873015873,9.63745368122407,3.16775004360004e-08,2.39524952032708e-05,2.21884480650299e-05,"SLC9A4/KCNQ1/HIP1R/SGK1/SLC26A7/GHRL/PTGER3/CCKBR",8,"BP"
"6","GO:1990573","potassium ion import across plasma membrane","14/828","52/18860",0.269230769230769,6.13247863247863,7.9416375632112,3.30758477676926e-08,2.39524952032708e-05,2.21884480650299e-05,"KCNJ11/ATP1B2/KCNQ1/KCNJ8/KCNJ13/KCNJ10/ABCC8/KCNJ12/KCNJ18/KCNJ15/KCNE2/KCNJ16/ATP4A/ATP4B",14,"BP"
"7","GO:0071805","potassium ion transmembrane transport","29/828","208/18860",0.139423076923077,3.17574786324786,6.76129802264482,3.63073768780632e-08,2.39524952032708e-05,2.21884480650299e-05,"KCNG4/SLC9A4/KCNJ11/LRRC26/ATP1B2/KCNQ1/NALCN/KCNIP4/SLC9A7/LRRC52/KCNJ8/SLC9A3/NEDD4L/KCNJ13/KCNJ10/KCNE4/ABCC8/KCNJ12/KCNIP3/KCNMB2/KCNJ18/KCNJ15/HPN/FXYD4/KCNE2/KCNK2/KCNJ16/ATP4A/ATP4B",29,"BP"
"8","GO:0071294","cellular response to zinc ion","10/828","25/18860",0.4,9.11111111111111,8.6960112323985,4.51832502984362e-08,2.60820312347723e-05,2.41611485806375e-05,"MT3/MT2A/MT1E/GABRB3/MT1H/MT1B/MT1X/MT1M/MT1G/MT1F",10,"BP"
"9","GO:0097501","stress response to metal ion","9/828","21/18860",0.428571428571429,9.76190476190476,8.60858559249618,1.05946831630881e-07,5.43624964968232e-05,5.03588214909825e-05,"MT3/MT2A/MT1E/MT1H/MT1B/MT1X/MT1M/MT1G/MT1F",9,"BP"
"10","GO:0061687","detoxification of inorganic compound","9/828","23/18860",0.391304347826087,8.91304347826087,8.13680953796983,2.72075434333913e-07,0.000125644435575401,0.000116391006856108,"MT3/MT2A/MT1E/MT1H/MT1B/MT1X/MT1M/MT1G/MT1F",9,"BP"
