"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term_type"
"1","GO:0007586","digestion","49/1989","148/18860",0.331081081081081,3.13936108053755,8.97141926510698,9.38337928284409e-14,5.52305704588203e-10,4.40722509053161e-10,"VIL1/CLDN2/TFF3/APOA4/SI/GCNT3/CCK/NR1I2/MUC13/ABCG5/SLC5A1/ABCG8/CLDN15/NMU/FABP2/ADRA2A/PRSS3/SERPINA3/FOLH1/RBP4/MOGAT2/PRSS2/VDR/TIFAB/NPSR1/PLS1/NPC1L1/NOD2/MDK/SCARB1/LDLR/MUC2/SLC2A5/SLC9A4/CLPS/KCNQ1/HIP1R/HEPH/PRSS1/SGK1/PPARGC1A/CHRM3/PGC/SLC26A7/GHRL/PTGER3/CCKBR/PGA3/CHIA",49,"BP"
"2","GO:0009410","response to xenobiotic stimulus","96/1989","443/18860",0.216704288939052,2.05482297103596,7.71397642181731,3.795581120208e-12,1.02488423600657e-08,8.17825251902164e-09,"CPS1/SPINK4/OTC/NAT2/NR1I2/NOS2/ABCG5/ABCG8/LCN2/MMP7/HTR2B/CYP4F2/RBP4/LRP8/CES2/RAD54L/S100A12/CYP3A4/RAD51/UGT2B7/GAL/NAT1/LYN/CD38/CBR3/CES3/BAK1/CCNB1/HSD11B2/CYP2D6/FOSB/SLCO2B1/CENPF/TPMT/AGPAT2/STAT1/E2F1/MDK/ASS1/CYP1A1/CYP4F12/NCKAP1L/CYP2J2/SULT1A4/SULT1C3/PFAS/TNF/CYBA/HNF4A/CHEK2/UGT1A8/TFRC/CARD9/ITGA2/ABCA2/RORA/HDAC5/KCNJ11/GSTM3/ALDH3A1/GATA6/RORC/EDN1/ALAD/GSTA4/KCNQ1/PON3/KCNJ8/FMO2/ABCC5/GABRB3/NFATC2/OXCT1/TFAP2B/SLC29A1/IGFBP2/SLC22A12/PTPRM/ABCC8/GSTM2/SLC10A1/SLC6A2/PRKAA2/VAV3/ADA/FUT1/ACSM2B/CA9/CYP2C8/SLC1A2/SCNN1B/FABP3/GSTA3/SULT2A1/KCNE2/ATP4A",96,"BP"
"3","GO:0006641","triglyceride metabolic process","39/1989","112/18860",0.348214285714286,3.30182072829132,8.38898358615707,5.22367092765837e-12,1.02488423600657e-08,8.17825251902164e-09,"CPS1/APOA4/MTTP/MFSD2A/PCSK9/APOC3/APOBEC1/AGMO/PCK1/LIPG/CIDEC/APOC2/MOGAT2/PNPLA3/CIDEB/PCK2/APOB/FITM2/AGPAT2/MOGAT3/GK/DGAT1/APOBR/SCARB1/LPGAT1/GK5/LDLR/MGLL/PLB1/INSIG1/GPIHBP1/PNPLA1/PNPLA4/MOGAT1/FUT1/APOA5/APOH/PLIN5/LIPF",39,"BP"
"4","GO:0050900","leukocyte migration","88/1989","397/18860",0.221662468513854,2.10183718258989,7.61847157708695,8.45746365970515e-12,1.24451577752561e-08,9.93084285515905e-09,"SAA1/CXCL5/TNFRSF11A/CCL25/GP2/CXCL3/CCL20/DPP4/EDN3/S100A9/ANXA1/PLA2G7/CXCL10/BST1/CXCR2/S100A8/HMOX1/S100A12/CD9/SELL/CXCL11/PADI2/S100A14/ASCL2/NEDD9/FFAR2/TRPM2/LYN/DPEP1/C5AR1/PF4/CCL26/CXCL9/CCL3/FPR2/CCR1/ECM1/BDKRB1/HCK/MDK/CXCL16/TREM2/FAM3D/WDR1/CCL13/NCKAP1L/SLAMF8/CKLF/CCR6/MYD88/TNFAIP6/SCG2/TNF/MCU/RIPK3/PYCARD/SELP/ICAM1/TNFRSF18/EXT1/ADAM8/LGALS3/CH25H/FUT4/F2RL1/ITGA2/RIN3/KITLG/PLVAP/FUT9/EDN1/PRTN3/LRP12/SFTPD/CCL16/GNAI1/KIT/RET/CXCL17/CHGA/CYP7B1/C5/VEGFB/VAV3/PDGFD/ADA/IL33/PLA2G1B",88,"BP"
"5","GO:0022600","digestive system process","39/1989","116/18860",0.336206896551724,3.18796484110886,8.11604609368324,1.80735332600216e-11,2.12761633536974e-08,1.69777064013087e-08,"VIL1/CLDN2/TFF3/APOA4/GCNT3/NR1I2/MUC13/ABCG5/SLC5A1/ABCG8/CLDN15/NMU/FABP2/ADRA2A/SERPINA3/FOLH1/RBP4/MOGAT2/VDR/TIFAB/NPSR1/PLS1/NPC1L1/NOD2/MDK/SCARB1/LDLR/MUC2/SLC2A5/SLC9A4/KCNQ1/HIP1R/HEPH/SGK1/CHRM3/SLC26A7/GHRL/PTGER3/CCKBR",39,"BP"
"6","GO:0019730","antimicrobial humoral response","51/1989","184/18860",0.277173913043478,2.62820512820513,7.62048137982246,5.72187028651562e-11,5.61315475107182e-08,4.47912021376012e-08,"DMBT1/PI3/CCL18/CCL15/CXCL5/REG3G/DEFA5/CCL25/CXCL3/KLK7/CXCL1/CCL20/REG3A/MMP7/DEFA6/S100A9/PRSS3/SEMG1/CXCL10/CXCL2/DEFB4A/NTS/LGALS4/S100A12/CXCL11/PRSS2/REG1B/PF4/DEFA3/CCL3L3/CCL26/CXCL9/KRT6A/CCL3/CCL13/WFDC2/LGALS3/PLA2G6/GATA6/PRTN3/NPY/F2/DEFB1/CCL16/HRG/ADM/TF/PLA2G1B/PGC/FGA/FGB",51,"BP"
"7","GO:0006639","acylglycerol metabolic process","42/1989","139/18860",0.302158273381295,2.86511062643098,7.57798574657398,1.47666221906806e-10,1.24166197449066e-07,9.90807040824316e-08,"CPS1/APOA4/MTTP/MFSD2A/PCSK9/APOC3/APOBEC1/AGMO/PCK1/LIPG/CIDEC/APOC2/MOGAT2/PNPLA3/CIDEB/PCK2/APOB/DGKG/FITM2/AGPAT2/MOGAT3/GK/PLA2G4A/DGAT1/APOBR/SCARB1/LPGAT1/GK5/LDLR/MGLL/PLB1/INSIG1/GPIHBP1/PNPLA1/PNPLA4/MOGAT1/DGKD/FUT1/APOA5/APOH/PLIN5/LIPF",42,"BP"
"8","GO:0006638","neutral lipid metabolic process","42/1989","140/18860",0.3,2.8446455505279,7.52194811434219,1.89691668829959e-10,1.33798449186151e-07,1.06766936757803e-07,"CPS1/APOA4/MTTP/MFSD2A/PCSK9/APOC3/APOBEC1/AGMO/PCK1/LIPG/CIDEC/APOC2/MOGAT2/PNPLA3/CIDEB/PCK2/APOB/DGKG/FITM2/AGPAT2/MOGAT3/GK/PLA2G4A/DGAT1/APOBR/SCARB1/LPGAT1/GK5/LDLR/MGLL/PLB1/INSIG1/GPIHBP1/PNPLA1/PNPLA4/MOGAT1/DGKD/FUT1/APOA5/APOH/PLIN5/LIPF",42,"BP"
"9","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","41/1989","135/18860",0.303703703703704,2.87976463139862,7.52602668856076,2.04584784688304e-10,1.33798449186151e-07,1.06766936757803e-07,"DMBT1/CCL18/CCL15/CXCL5/REG3G/DEFA5/CCL25/CXCL3/KLK7/CXCL1/CCL20/REG3A/MMP7/DEFA6/S100A9/SEMG1/CXCL10/CXCL2/DEFB4A/NTS/LGALS4/S100A12/CXCL11/REG1B/PF4/DEFA3/CCL3L3/CCL26/CXCL9/KRT6A/CCL3/CCL13/LGALS3/NPY/F2/DEFB1/CCL16/HRG/ADM/PLA2G1B/PGC",41,"BP"
"10","GO:0044282","small molecule catabolic process","80/1989","373/18860",0.214477211796247,2.03370548741941,6.9234781530248,4.04680323661001e-10,2.38194838506865e-07,1.90071958334251e-07,"ADH4/OTC/MFSD2A/XDH/UPP1/CYP4F3/NOS2/SLC27A2/FUT5/CYP4F2/GDA/PCK1/DHDH/ENTPD7/ACOT7/TDO2/CYP3A4/LDHA/GLB1L2/FUT6/IDO1/ACOX2/SLC27A4/KYNU/DPEP1/PFKP/CBR3/IL4I1/PCK2/GALM/CYP27B1/ACAA2/SLC16A3/SDS/ARHGAP11B/RBKS/CYP1A1/CYP4F12/GK/SULT1A4/SCARB1/DDO/GK5/ACMSD/LDHC/AGXT/SESN2/ABHD3/CRYM/DPEP2/FUT4/CDO1/FUT9/GALT/ENPP4/PGAM2/GLS2/ALDH1L2/PON3/BCAT2/DCXR/SARDH/ACAT1/OXCT1/ALDH6A1/ECI2/LDHB/TKTL1/GPT2/ALDH1L1/CARNS1/ADA/CBS/FUT1/GLUL/ACADL/ADHFE1/HDC/SULT2A1/PLIN5",80,"BP"
