"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term_type"
"1","GO:0000280","nuclear division","80/1161","453/18860",0.176600441501104,2.86880648295505,10.3115274530205,7.21388080280552e-18,3.0620605320108e-14,2.368597781916e-14,"HOXA13/EDN3/ANLN/SPC25/SKA1/TEX11/CDCA2/FANCD2/TOP2A/KIF18A/MYBL2/BUB1/MAD2L1/RAD54L/RAD51AP1/ESPL1/CENPK/SKA3/KIF4A/CENPE/KIFC1/NUF2/RAD51/NCAPG/NEK2/KIF14/BIRC5/CDC25B/DLGAP5/KIF23/BUB1B/ASPM/AURKA/TRIP13/CDC20/CCNB2/SPAG5/KIF15/MKI67/MSX1/PTTG1/TPX2/MND1/FANCA/CHEK1/CDCA8/UBE2C/KIF11/ZWINT/CCNB1/NCAPG2/CKS2/SPC24/UHRF1/KIF20B/ZWILCH/CENPF/CENPI/FIGNL1/NUSAP1/RACGAP1/PRC1/INCENP/CDT1/UBE2S/MSX2/KIF22/GEN1/KIF2A/CCNE2/PSRC1/TNF/LIF/CHEK2/BRCA2/BRIP1/BORA/EREG/FBXO5/RCC1",80,"BP"
"2","GO:0140014","mitotic nuclear division","60/1161","281/18860",0.213523131672598,3.4686014326832,10.6781015021944,1.14512360957771e-17,3.0620605320108e-14,2.368597781916e-14,"HOXA13/EDN3/ANLN/SPC25/SKA1/CDCA2/KIF18A/MYBL2/BUB1/MAD2L1/ESPL1/CENPK/SKA3/KIF4A/CENPE/KIFC1/NUF2/NCAPG/NEK2/KIF14/BIRC5/DLGAP5/KIF23/BUB1B/AURKA/TRIP13/CDC20/SPAG5/KIF15/MKI67/TPX2/CHEK1/CDCA8/UBE2C/KIF11/ZWINT/CCNB1/NCAPG2/SPC24/UHRF1/KIF20B/ZWILCH/CENPF/CENPI/NUSAP1/RACGAP1/PRC1/INCENP/CDT1/UBE2S/KIF22/GEN1/KIF2A/PSRC1/TNF/CHEK2/BORA/EREG/FBXO5/RCC1",60,"BP"
"3","GO:0000070","mitotic sister chromatid segregation","48/1161","192/18860",0.25,4.06115417743325,10.9191290161019,2.85756610825495e-17,5.09408784898249e-14,3.94043326506735e-14,"SPC25/SKA1/KIF18A/MYBL2/BUB1/MAD2L1/ESPL1/CENPK/SKA3/KIF4A/CENPE/KIFC1/NUF2/NCAPG/NEK2/KIF14/BIRC5/DLGAP5/KIF23/BUB1B/TRIP13/CDC20/SPAG5/KIF15/TPX2/CDCA8/UBE2C/KIF11/ZWINT/CCNB1/NCAPG2/SPC24/UHRF1/ZWILCH/CENPF/CENPI/NUSAP1/RACGAP1/PRC1/INCENP/CDT1/KIF22/GEN1/KIF2A/PSRC1/CHEK2/FBXO5/RCC1",48,"BP"
"4","GO:0007059","chromosome segregation","75/1161","434/18860",0.172811059907834,2.80724943140547,9.7554768714664,2.75413710314581e-16,3.68228130690594e-13,2.84835758299027e-13,"SPC25/SKA1/TEX11/CDCA2/FANCD2/TOP2A/FAM83D/KIF18A/MYBL2/BUB1/MAD2L1/ESCO2/ESPL1/CENPK/SKA3/KIF4A/CENPE/KIFC1/NUF2/OIP5/NCAPG/NEK2/CENPM/KIF14/CENPW/BIRC5/DLGAP5/KIF23/BUB1B/ASPM/AURKA/HJURP/TRIP13/CDC20/TACC3/ECT2/CCNB2/SPAG5/KIF15/GPSM2/MKI67/PTTG1/TPX2/MND1/CDCA8/UBE2C/KIF11/ZWINT/BRCA1/CDC6/CENPL/CCNB1/STIL/NCAPG2/SPC24/UHRF1/ZWILCH/CENPF/CENPI/NUSAP1/RACGAP1/PRC1/INCENP/CDT1/KIF22/GEN1/CENPO/DIAPH3/KIF2A/CCNE2/PSRC1/CHEK2/BRIP1/FBXO5/RCC1",75,"BP"
"5","GO:0098813","nuclear chromosome segregation","62/1161","323/18860",0.191950464396285,3.1181617213729,9.83426092830694,7.30161779534825e-16,7.80981039390449e-13,6.04112798646708e-13,"SPC25/SKA1/TEX11/FANCD2/TOP2A/FAM83D/KIF18A/MYBL2/BUB1/MAD2L1/ESPL1/CENPK/SKA3/KIF4A/CENPE/KIFC1/NUF2/NCAPG/NEK2/KIF14/BIRC5/DLGAP5/KIF23/BUB1B/ASPM/AURKA/TRIP13/CDC20/TACC3/ECT2/CCNB2/SPAG5/KIF15/PTTG1/TPX2/MND1/CDCA8/UBE2C/KIF11/ZWINT/CDC6/CCNB1/NCAPG2/SPC24/UHRF1/ZWILCH/CENPF/CENPI/NUSAP1/RACGAP1/PRC1/INCENP/CDT1/KIF22/GEN1/KIF2A/CCNE2/PSRC1/CHEK2/BRIP1/FBXO5/RCC1",62,"BP"
"6","GO:0000819","sister chromatid segregation","51/1161","233/18860",0.218884120171674,3.55568863603598,10.0534592190674,1.12252601188822e-15,1.0005448519297e-12,7.7395214503872e-13,"SPC25/SKA1/TOP2A/KIF18A/MYBL2/BUB1/MAD2L1/ESPL1/CENPK/SKA3/KIF4A/CENPE/KIFC1/NUF2/NCAPG/NEK2/KIF14/BIRC5/DLGAP5/KIF23/BUB1B/TRIP13/CDC20/TACC3/SPAG5/KIF15/TPX2/CDCA8/UBE2C/KIF11/ZWINT/CDC6/CCNB1/NCAPG2/SPC24/UHRF1/ZWILCH/CENPF/CENPI/NUSAP1/RACGAP1/PRC1/INCENP/CDT1/KIF22/GEN1/KIF2A/PSRC1/CHEK2/FBXO5/RCC1",51,"BP"
"7","GO:0007088","regulation of mitotic nuclear division","35/1161","119/18860",0.294117647058824,4.77782844403911,10.5881578700277,2.75497325643196e-15,2.10479956791402e-12,1.62812705229738e-12,"HOXA13/EDN3/SPC25/SKA1/CDCA2/BUB1/MAD2L1/ESPL1/SKA3/NUF2/NEK2/BIRC5/DLGAP5/BUB1B/AURKA/TRIP13/CDC20/MKI67/CHEK1/CDCA8/UBE2C/ZWINT/CCNB1/SPC24/KIF20B/ZWILCH/CENPF/NUSAP1/INCENP/GEN1/TNF/BORA/EREG/FBXO5/RCC1",35,"BP"
"8","GO:0051783","regulation of nuclear division","39/1161","147/18860",0.26530612244898,4.30979626992916,10.3178520529315,3.27181925826669e-15,2.18721117415128e-12,1.69187495855107e-12,"HOXA13/EDN3/SPC25/SKA1/CDCA2/BUB1/MAD2L1/RAD51AP1/ESPL1/SKA3/NUF2/NEK2/BIRC5/DLGAP5/BUB1B/AURKA/TRIP13/CDC20/MKI67/MSX1/CHEK1/CDCA8/UBE2C/ZWINT/CCNB1/SPC24/KIF20B/ZWILCH/CENPF/NUSAP1/INCENP/MSX2/GEN1/TNF/LIF/BORA/EREG/FBXO5/RCC1",39,"BP"
"9","GO:0090068","positive regulation of cell cycle process","54/1161","278/18860",0.194244604316547,3.15542914505605,9.27280221461672,3.32396940022919e-14,1.95782239807677e-11,1.51443570138206e-11,"HOXA13/RRM2/EDN3/ANXA1/SKA1/FAM83D/BUB1/MAD2L1/RAD51AP1/ESPL1/CCND2/SKA3/PLK4/NCAPG/KIF14/BIRC5/CDC25B/DLGAP5/KIF23/AURKA/CDC25A/CDC20/ECT2/SPAG5/GPSM2/MSX1/CHEK1/FEN1/CDCA8/UBE2C/CDC6/CCNB1/STIL/NCAPG2/KIF20B/NUSAP1/RACGAP1/LEF1/INCENP/DTL/PKP3/CYP1A1/EZH2/MSX2/GEN1/CCNE2/ATAD5/TNF/CHEK2/EREG/POC1A/FBXO5/SVIL/E2F7",54,"BP"
"10","GO:0050900","leukocyte migration","67/1161","397/18860",0.168765743073048,2.74153480995494,8.98208899233506,3.66084965982941e-14,1.95782239807677e-11,1.51443570138206e-11,"SAA1/CXCL5/TNFRSF11A/CCL25/GP2/CXCL3/CCL20/DPP4/EDN3/S100A9/ANXA1/PLA2G7/CXCL10/BST1/CXCR2/S100A8/HMOX1/S100A12/CD9/SELL/CXCL11/PADI2/S100A14/ASCL2/NEDD9/FFAR2/TRPM2/LYN/DPEP1/C5AR1/PF4/CCL26/CXCL9/CCL3/FPR2/CCR1/ECM1/BDKRB1/HCK/MDK/CXCL16/TREM2/FAM3D/WDR1/CCL13/NCKAP1L/SLAMF8/CKLF/CCR6/MYD88/TNFAIP6/SCG2/TNF/MCU/RIPK3/PYCARD/SELP/ICAM1/TNFRSF18/EXT1/ADAM8/LGALS3/CH25H/FUT4/F2RL1/ITGA2/RIN3",67,"BP"
"11","GO:0050727","regulation of inflammatory response","71/1161","460/18860",0.154347826086957,2.50732127476314,8.38256459591296,5.90479208618278e-13,2.87080255244596e-10,2.22065386590415e-10,"ADORA2B/CCL15/LRRC19/SAA1/F12/TNFRSF11A/ACE2/CAMK2N1/PLA2G2A/CREB3L3/REG3A/S100A9/MMP3/ANXA1/PLA2G7/PLA2G3/SOCS3/BST1/PBK/GBP1/S100A8/FANCD2/NR1H4/S100A12/GBP3/IL22RA1/AGT/SEMA7A/IDO1/ZBP1/FFAR2/USP18/LYN/CASP1/PIK3AP1/NLRP7/FANCA/IL18/TNFRSF1B/NR5A2/DUSP10/NOD2/CCL3/C2CD4A/FPR2/CCR1/SIGLEC10/HLA-DRB1/TTBK1/HCK/IL20RB/MMP9/MDK/TREM2/MAP3K8/IFI35/SLAMF8/DNASE1L3/MFHAS1/MYD88/TNFAIP6/NT5E/JAK2/CTSC/LDLR/TNF/PYCARD/STAT5A/MGLL/ADAM8/FGR",71,"BP"
"12","GO:0000075","cell cycle checkpoint signaling","41/1161","187/18860",0.219251336898396,3.56165393101098,9.01644396752833,6.81118838982338e-13,3.03551962573128e-10,2.34806757649174e-10,"SPC25/SKA1/FANCD2/BUB1/MAD2L1/SKA3/CDC45/NUF2/RAD51/ORC1/BIRC5/BUB1B/TRIP13/CDC20/LYN/CLSPN/CHEK1/CDCA8/CDKN1A/ZWINT/BRCA1/CDC6/CCNB1/SPC24/ZWILCH/PARP9/CENPF/HUS1/E2F1/INCENP/DTL/CDT1/NEK11/GEN1/STK38/BLM/CHEK2/BRCA2/BRIP1/WDR76/FBXO6",41,"BP"
"13","GO:0060326","cell chemotaxis","57/1161","330/18860",0.172727272727273,2.80588834077206,8.47639584405981,1.14642705393315e-12,4.49461702993e-10,3.47672419155708e-10,"CCL18/CCL15/SAA1/CXCL5/TNFRSF11A/CCL25/CXCL3/CXCL1/CCL20/HOXB9/DPP4/EDN3/S100A9/ANXA1/PLA2G7/CXCL10/CXCL2/CCRL2/BST1/CXCR2/S100A8/EPHA2/DEFB4A/S100A12/CXCL11/PADI2/S100A14/NEDD9/FFAR2/TRPM2/LYN/DPEP1/C5AR1/PF4/CCL3L3/CCL26/CXCL9/CCL3/FPR2/CCR1/MDK/LEF1/CXCL16/CCL13/NCKAP1L/HSPB1/SLAMF8/CKLF/CCR6/TNFAIP6/SCG2/MCU/ADAM8/LGALS3/CH25H/F2RL1/RIN3",57,"BP"
"14","GO:0045787","positive regulation of cell cycle","59/1161","349/18860",0.169054441260745,2.74622460135887,8.43332720713147,1.1766013167356e-12,4.49461702993e-10,3.47672419155708e-10,"HOXA13/RRM2/EDN3/ANXA1/SKA1/OVOL1/FAM83D/BUB1/MAD2L1/RAD51AP1/ESPL1/CCND2/SKA3/PLK4/NCAPG/KIF14/BIRC5/CDC25B/DLGAP5/KIF23/AURKA/CDC25A/CDC20/ECT2/SPAG5/TBX3/GPSM2/MSX1/CHEK1/FEN1/CDCA8/UBE2C/CDC6/CCNB1/STIL/NCAPG2/KIF20B/NUSAP1/RACGAP1/LEF1/INCENP/DTL/PKP3/CYP1A1/EZH2/MSX2/GEN1/CCNE2/ATAD5/TNF/CHEK2/BRCA2/MEIS2/STAT5A/EREG/POC1A/FBXO5/SVIL/E2F7",59,"BP"
"15","GO:0097530","granulocyte migration","35/1161","148/18860",0.236486486486486,3.84163233000442,8.88872999046653,3.30527632036676e-12,1.1784411840881e-09,9.11560416774833e-10,"SAA1/CXCL5/CCL25/GP2/CXCL3/DPP4/EDN3/S100A9/ANXA1/CXCL10/BST1/CXCR2/S100A8/S100A12/S100A14/DPEP1/C5AR1/PF4/CCL26/CXCL9/CCL3/MDK/FAM3D/WDR1/CCL13/NCKAP1L/SLAMF8/CKLF/MYD88/TNFAIP6/SCG2/MCU/ADAM8/LGALS3/FUT4",35,"BP"
"16","GO:0010965","regulation of mitotic sister chromatid separation","22/1161","61/18860",0.360655737704918,5.85871422318239,9.7346417809178,4.1718514219716e-12,1.39444133779401e-09,1.07864316370713e-09,"SPC25/SKA1/BUB1/MAD2L1/ESPL1/SKA3/NUF2/BIRC5/DLGAP5/BUB1B/TRIP13/CDC20/CDCA8/UBE2C/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",22,"BP"
"17","GO:1990266","neutrophil migration","29/1161","106/18860",0.273584905660377,4.44428193002129,9.10763768644556,4.97112211905088e-12,1.54108580518328e-09,1.19207715906985e-09,"SAA1/CXCL5/GP2/CXCL3/DPP4/EDN3/S100A9/CXCL10/BST1/CXCR2/S100A8/S100A12/DPEP1/C5AR1/PF4/CXCL9/CCL3/MDK/FAM3D/WDR1/NCKAP1L/SLAMF8/CKLF/MYD88/TNFAIP6/MCU/ADAM8/LGALS3/FUT4",29,"BP"
"18","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","33/1161","135/18860",0.244444444444444,3.97090630682362,8.87249988266173,5.18690061580012e-12,1.54108580518328e-09,1.19207715906985e-09,"DMBT1/CCL18/CCL15/CXCL5/REG3G/DEFA5/CCL25/CXCL3/KLK7/CXCL1/CCL20/REG3A/MMP7/DEFA6/S100A9/SEMG1/CXCL10/CXCL2/DEFB4A/NTS/LGALS4/S100A12/CXCL11/REG1B/PF4/DEFA3/CCL3L3/CCL26/CXCL9/KRT6A/CCL3/CCL13/LGALS3",33,"BP"
"19","GO:0030595","leukocyte chemotaxis","45/1161","237/18860",0.189873417721519,3.0844208942531,8.27057767461189,1.04518593098313e-11,2.94192334678831e-09,2.27566798269458e-09,"SAA1/CXCL5/TNFRSF11A/CCL25/CXCL3/DPP4/EDN3/S100A9/ANXA1/PLA2G7/CXCL10/BST1/CXCR2/S100A8/S100A12/CXCL11/PADI2/S100A14/NEDD9/FFAR2/TRPM2/LYN/DPEP1/C5AR1/PF4/CCL26/CXCL9/CCL3/FPR2/CCR1/MDK/CXCL16/CCL13/NCKAP1L/SLAMF8/CKLF/CCR6/TNFAIP6/SCG2/MCU/ADAM8/LGALS3/CH25H/F2RL1/RIN3",45,"BP"
"20","GO:1905818","regulation of chromosome separation","24/1161","76/18860",0.315789473684211,5.12987896096831,9.23955713424682,1.18935823327951e-11,3.18034391578941e-09,2.46009360883604e-09,"SPC25/SKA1/BUB1/MAD2L1/ESPL1/SKA3/NUF2/NCAPG/BIRC5/DLGAP5/BUB1B/TRIP13/CDC20/CDCA8/UBE2C/ZWINT/CCNB1/NCAPG2/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",24,"BP"
"21","GO:0051306","mitotic sister chromatid separation","22/1161","64/18860",0.34375,5.58408699397071,9.40830082181439,1.26700610448408e-11,3.2266422127528e-09,2.49590676221677e-09,"SPC25/SKA1/BUB1/MAD2L1/ESPL1/SKA3/NUF2/BIRC5/DLGAP5/BUB1B/TRIP13/CDC20/CDCA8/UBE2C/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",22,"BP"
"22","GO:0044772","mitotic cell cycle phase transition","68/1161","461/18860",0.147505422993492,2.39616905913632,7.77306747657092,1.53236947914195e-11,3.72505089747779e-09,2.88144117369754e-09,"UBD/RRM2/ANXA1/ANLN/SPC25/SKA1/CCNA2/MELK/BUB1/MAD2L1/ESPL1/CCND2/CDKN3/SKA3/CENPE/FOXM1/NUF2/KIF14/ORC1/CCNF/BIRC5/CDC25B/DLGAP5/BUB1B/AURKA/CDC25A/TRIP13/CDC20/TACC3/CCNB2/CLSPN/CHEK1/CDCA8/UBE2C/CDKN1A/ZWINT/BRCA1/CDC6/PIM2/CCNB1/STIL/CKS2/SPC24/ZWILCH/SKP2/CENPF/HUS1/IQGAP3/SLFN11/E2F1/INCENP/DTL/CYP1A1/UBE2S/EZH2/NEK11/GEN1/MYB/CCNE2/ATAD5/BLM/CHEK2/CALM2/INHBA/FBXO5/CCNI2/E2F7/RCC1",68,"BP"
"23","GO:0006935","chemotaxis","69/1161","474/18860",0.145569620253165,2.36472268559404,7.70710062563501,1.99575551101742e-11,4.64056542300921e-09,3.58961975208168e-09,"CCL18/CCL15/SAA1/CXCL5/TNFRSF11A/CCL25/CXCL3/CXCL1/CCL20/HOXB9/PTAFR/DPP4/EDN3/S100A9/ANXA1/PLA2G7/CXCL10/CXCL2/CCRL2/BST1/CXCR2/S100A8/EPHA2/DEFB4A/S100A12/CXCL11/PADI2/F3/FPR1/S100A14/NEDD9/PLAUR/SEMA7A/CMTM2/FFAR2/TRPM2/LYN/DPEP1/C5AR1/PF4/CCL3L3/CCL26/CXCL9/CCL3/FPR2/CCR1/MDK/LEF1/CXCL16/TREM2/CCL13/PLD1/NCKAP1L/HSPB1/SLAMF8/CKLF/CCR6/TNFAIP6/SCG2/PROK2/MCU/CMTM1/ADAM8/LGALS3/SEMA6A/CH25H/F2RL1/ITGA2/RIN3",69,"BP"
"24","GO:0006641","triglyceride metabolic process","29/1161","112/18860",0.258928571428571,4.20619539805586,8.71610795878288,2.20198621209472e-11,4.90675927595106e-09,3.79552886558432e-09,"CPS1/APOA4/MTTP/MFSD2A/PCSK9/APOC3/APOBEC1/AGMO/PCK1/LIPG/CIDEC/APOC2/MOGAT2/PNPLA3/CIDEB/PCK2/APOB/FITM2/AGPAT2/MOGAT3/GK/DGAT1/APOBR/SCARB1/LPGAT1/GK5/LDLR/MGLL/PLB1",29,"BP"
"25","GO:0042330","taxis","69/1161","476/18860",0.144957983193277,2.35478687599071,7.66753076317542,2.42288013844122e-11,5.1801500401861e-09,4.00700501081198e-09,"CCL18/CCL15/SAA1/CXCL5/TNFRSF11A/CCL25/CXCL3/CXCL1/CCL20/HOXB9/PTAFR/DPP4/EDN3/S100A9/ANXA1/PLA2G7/CXCL10/CXCL2/CCRL2/BST1/CXCR2/S100A8/EPHA2/DEFB4A/S100A12/CXCL11/PADI2/F3/FPR1/S100A14/NEDD9/PLAUR/SEMA7A/CMTM2/FFAR2/TRPM2/LYN/DPEP1/C5AR1/PF4/CCL3L3/CCL26/CXCL9/CCL3/FPR2/CCR1/MDK/LEF1/CXCL16/TREM2/CCL13/PLD1/NCKAP1L/HSPB1/SLAMF8/CKLF/CCR6/TNFAIP6/SCG2/PROK2/MCU/CMTM1/ADAM8/LGALS3/SEMA6A/CH25H/F2RL1/ITGA2/RIN3",69,"BP"
"26","GO:0031640","killing of cells of another organism","32/1161","135/18860",0.237037037037037,3.85057581267745,8.51313739023295,2.6152589956063e-11,5.1801500401861e-09,4.00700501081198e-09,"CCL18/DEFA5/CCL25/CXCL3/CXCL1/PLA2G2A/CCL20/DEFA6/SEMG1/CXCL10/CXCL2/GBP1/DEFB4A/NTS/S100A12/SFN/CXCL11/GBP3/MICB/PF4/DEFA3/C2/C8G/CXCL9/APOL1/KRT6A/FCN1/GZMB/CCL13/MYD88/LGALS3/F2RL1",32,"BP"
"27","GO:0141061","disruption of cell in another organism","32/1161","135/18860",0.237037037037037,3.85057581267745,8.51313739023295,2.6152589956063e-11,5.1801500401861e-09,4.00700501081198e-09,"CCL18/DEFA5/CCL25/CXCL3/CXCL1/PLA2G2A/CCL20/DEFA6/SEMG1/CXCL10/CXCL2/GBP1/DEFB4A/NTS/S100A12/SFN/CXCL11/GBP3/MICB/PF4/DEFA3/C2/C8G/CXCL9/APOL1/KRT6A/FCN1/GZMB/CCL13/MYD88/LGALS3/F2RL1",32,"BP"
"28","GO:0033046","negative regulation of sister chromatid segregation","19/1161","50/18860",0.38,6.17295434969854,9.38059369789597,4.18827785414834e-11,7.22545482709205e-09,5.58911102438132e-09,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"29","GO:0033048","negative regulation of mitotic sister chromatid segregation","19/1161","50/18860",0.38,6.17295434969854,9.38059369789597,4.18827785414834e-11,7.22545482709205e-09,5.58911102438132e-09,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"30","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","19/1161","50/18860",0.38,6.17295434969854,9.38059369789597,4.18827785414834e-11,7.22545482709205e-09,5.58911102438132e-09,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"31","GO:2000816","negative regulation of mitotic sister chromatid separation","19/1161","50/18860",0.38,6.17295434969854,9.38059369789597,4.18827785414834e-11,7.22545482709205e-09,5.58911102438132e-09,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"32","GO:0050892","intestinal absorption","18/1161","45/18860",0.4,6.4978466838932,9.45687929262416,4.95313684246425e-11,8.27792994796838e-09,6.40323282594885e-09,"VIL1/CLDN2/APOA4/GCNT3/ABCG5/SLC5A1/ABCG8/CLDN15/FABP2/ADRA2A/FOLH1/MOGAT2/VDR/PLS1/NPC1L1/SCARB1/LDLR/SLC2A5",18,"BP"
"33","GO:0022600","digestive system process","29/1161","116/18860",0.25,4.06115417743325,8.47001415356698,5.57848267708455e-11,9.04052283546915e-09,6.99312182486197e-09,"VIL1/CLDN2/TFF3/APOA4/GCNT3/NR1I2/MUC13/ABCG5/SLC5A1/ABCG8/CLDN15/NMU/FABP2/ADRA2A/SERPINA3/FOLH1/RBP4/MOGAT2/VDR/TIFAB/NPSR1/PLS1/NPC1L1/NOD2/MDK/SCARB1/LDLR/MUC2/SLC2A5",29,"BP"
"34","GO:0141060","disruption of anatomical structure in another organism","32/1161","139/18860",0.23021582733813,3.73976787562198,8.30343371584293,5.94144422943303e-11,9.34554227617877e-09,7.22906372187981e-09,"CCL18/DEFA5/CCL25/CXCL3/CXCL1/PLA2G2A/CCL20/DEFA6/SEMG1/CXCL10/CXCL2/GBP1/DEFB4A/NTS/S100A12/SFN/CXCL11/GBP3/MICB/PF4/DEFA3/C2/C8G/CXCL9/APOL1/KRT6A/FCN1/GZMB/CCL13/MYD88/LGALS3/F2RL1",32,"BP"
"35","GO:0045839","negative regulation of mitotic nuclear division","20/1161","57/18860",0.350877192982456,5.69986551218701,9.10144525121809,7.05811558236263e-11,1.07848006098501e-08,8.34237420712335e-09,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CHEK1/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",20,"BP"
"36","GO:0007586","digestion","33/1161","148/18860",0.222972972972973,3.6221104825756,8.20205761269267,7.44332278247375e-11,1.07941188845125e-08,8.34958217850925e-09,"VIL1/CLDN2/TFF3/APOA4/SI/GCNT3/CCK/NR1I2/MUC13/ABCG5/SLC5A1/ABCG8/CLDN15/NMU/FABP2/ADRA2A/PRSS3/SERPINA3/FOLH1/RBP4/MOGAT2/PRSS2/VDR/TIFAB/NPSR1/PLS1/NPC1L1/NOD2/MDK/SCARB1/LDLR/MUC2/SLC2A5",33,"BP"
"37","GO:0002237","response to molecule of bacterial origin","58/1161","375/18860",0.154666666666667,2.51250071777204,7.5770921902466,7.46788329706362e-11,1.07941188845125e-08,8.34958217850925e-09,"CPS1/CXCL5/NR1I2/TNFRSF11A/CD55/NOS2/CLDN1/LCN2/EPHB2/PTAFR/IRAK2/MMP3/CXCL10/CXCL2/S100A8/NR1H4/GBP3/S100A14/IDO1/TIFAB/LYN/CASP1/C5AR1/PF4/NLRP7/C2/PCK2/IL18/TNFRSF1B/CXCL9/CYP27B1/LILRB2/DUSP10/GCH1/NOD2/CD68/BDKRB1/HCK/MMP9/E2F1/ASS1/TREM2/LILRA2/CYP1A1/SCARB1/MYD88/JAK2/MAP2K3/TNF/CD274/PYCARD/CSF2/SELP/TLR1/RPS6KA3/CARD9/GFI1/CEBPE",58,"BP"
"38","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","19/1161","52/18860",0.365384615384615,5.93553302855628,9.12778709847976,9.34603160543937e-11,1.27615167382815e-08,9.8714247886955e-09,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"39","GO:1905819","negative regulation of chromosome separation","19/1161","52/18860",0.365384615384615,5.93553302855628,9.12778709847976,9.34603160543937e-11,1.27615167382815e-08,9.8714247886955e-09,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",19,"BP"
"40","GO:0051304","chromosome separation","24/1161","83/18860",0.289156626506024,4.69723856666978,8.64578622803204,9.54488910866231e-11,1.27615167382815e-08,9.8714247886955e-09,"SPC25/SKA1/BUB1/MAD2L1/ESPL1/SKA3/NUF2/NCAPG/BIRC5/DLGAP5/BUB1B/TRIP13/CDC20/CDCA8/UBE2C/ZWINT/CCNB1/NCAPG2/SPC24/ZWILCH/CENPF/INCENP/GEN1/FBXO5",24,"BP"
"41","GO:0051784","negative regulation of nuclear division","21/1161","64/18860",0.328125,5.33026485788114,8.8873606619293,1.01346652856518e-10,1.3219558523821e-08,1.02257341649838e-08,"SPC25/SKA1/BUB1/MAD2L1/SKA3/NUF2/BIRC5/BUB1B/TRIP13/CDC20/CHEK1/CDCA8/ZWINT/CCNB1/SPC24/ZWILCH/CENPF/INCENP/GEN1/LIF/FBXO5",21,"BP"
"42","GO:0001906","cell killing","48/1161","281/18860",0.170818505338078,2.77488114614656,7.6773677524298,1.0500160740096e-10,1.33702046757223e-08,1.03422635861096e-08,"CCL18/CD55/DEFA5/NOS2/CCL25/CXCL3/CXCL1/PLA2G2A/CCL20/DEFA6/CEACAM1/SEMG1/CXCL10/CXCL2/GBP1/DEFB4A/NTS/S100A12/SFN/CXCL11/FCGR3A/GBP3/MICB/PF4/DEFA3/C2/IL18/C8G/CXCL9/APOL1/KRT6A/HLA-DRB1/FCN1/GZMB/CCL13/NCKAP1L/ULBP2/DNASE1L3/FCGR2C/MYD88/CTSC/RIPK3/STAT5A/ICAM1/SERPINB9/TUBB4B/LGALS3/F2RL1",48,"BP"
