"","GSM1479654","GSM1479655","GSM1479656","GSM1479657","GSM1479658","GSM1479659","GSM1479660","GSM1479661","GSM1479662","GSM1479663","GSM1479664","GSM1479665","GSM1479666","GSM1479667","GSM1479668","GSM1479669","GSM1479670","GSM1479671","GSM1479672","GSM1479673","GSM1479674","GSM1479675","GSM1479676","GSM1479677","GSM1479678","GSM1479679","GSM1479680","GSM1479681","GSM1479682","GSM1479683","GSM1479684","GSM1479685","GSM3754774","GSM3754775","GSM3754776","GSM3754777","GSM3754778","GSM3754779","GSM3754780","GSM3754781","GSM3754782","GSM3754783","GSM3754784","GSM3754785","GSM3754786","GSM3754787","GSM3754788","GSM3754789","GSM3754790","GSM3754791","GSM3754792","GSM3754793","GSM3754794","GSM3754795","GSM3754796","GSM3754797","GSM3754798","GSM3754799","GSM3754800","GSM3754801","GSM3754802","GSM3754803","GSM3754804","GSM3754805","GSM3754806","GSM3754807","GSM3754808","GSM3754809","GSM3754810","GSM3754811","GSM3754812","GSM3754813","GSM3754814","GSM3754815","GSM3754816","GSM3754817","GSM3754818","GSM3754819","GSM3754820","GSM3754821","GSM3754822","GSM3754823","GSM3754824","GSM3754825","GSM3754826","GSM3754827","GSM3754828","GSM3754829","GSM3754830","GSM3754831","GSM3754832","GSM3754833","GSM3754834","GSM3754835","GSM3754836","GSM3754837","GSM3754838","GSM3754839","GSM3754840","GSM3754841","GSM3754842","GSM3754843","GSM3754844","GSM3754845","GSM3754846","GSM3754847","GSM3754848","GSM3754849","GSM3754850","GSM3754851","GSM3754852","GSM3754853","GSM3754854","GSM3754855","GSM3754856","GSM3754857","GSM3754858","GSM3754859","GSM3754860","GSM3754861","GSM3754862","GSM3754863","GSM3754864","GSM3754865","GSM3754866","GSM3754867"
"REACTOME_ION_CHANNEL_TRANSPORT",0.0402741897410265,0.0992683707414644,0.124805190606199,-0.0119072222039266,0.0363784091966915,0.113397347151098,0.123034323881943,0.0750055884312507,-0.00610389354147317,-0.0311046329192227,-0.00876341834029229,0.0274615150869248,0.116403670108311,0.18074733076881,-0.0608340601540902,0.172352535100913,-0.0971283837068517,-0.0866105505422598,-0.0137666822482875,-0.0475149490706116,0.0696581524595693,0.0893403663717684,-0.0544345442466879,0.00464581163735242,0.00329936454890392,0.0287046113959811,-0.189108307729458,-0.0636616791473081,0.181398190839322,0.109541228094124,0.0500802674112415,-0.0472334413898394,0.270682635659511,0.244166644459027,0.0382311244611456,0.111847618791529,-0.064371892290689,-0.101318444716377,0.0917709174263844,-0.233991599362899,0.00724616830063751,0.164912545801026,0.0707838211742595,-0.129607138701603,0.13678041651011,-0.0725816309052102,-0.0771228392497231,-0.0727970476317897,-0.0454415773036237,-0.100629783730124,-0.0435643310371228,-0.21261891134862,-0.018148706658304,-0.355754398297497,0.0534255773308408,-0.351322886852666,0.104820762512437,-0.0669223343856613,-0.0549635013052193,-0.127331762789258,0.113898183691135,0.056458787339328,-0.0577898826642176,-0.146549953476701,0.161620685944447,0.046174663990756,-0.118343214018905,-0.0949519432038604,0.0838345071307405,-0.0510244487673196,0.0808416352896661,-0.000269893039564012,-0.229186441073892,-0.344621945925774,0.0741328012359434,-0.11491844263868,0.0442135167943786,-0.26850105550781,0.154295300101403,-0.112798793091744,0.186749846910616,0.169599619202723,-0.091794607080684,-0.283622872048804,-0.183164568394075,-0.212537956291399,0.0390540073191681,-0.27263393718889,0.115046044940273,0.0368617633530927,0.246282901913503,0.0615033369690103,-0.0318766150066689,0.110882965717229,0.0823301929043195,-0.0758053494989709,0.0948652911748231,0.324432246226471,-0.34316956778171,-0.108801800131231,0.0266271993519346,-0.153552342282484,-0.109881599673693,-0.0471521195561245,0.0156738997615634,0.0469484133978741,-0.231167038654308,-0.266837878609186,-0.061726630884829,-0.00951797090918638,0.20025839917886,0.200457452773098,-0.0182822554622953,-0.121337349698459,0.0151315769939237,0.11940751439676,-0.0205029976197268,-0.0968778562351222,-0.0930070519706945,-0.177708787784741,-0.0550372494002344,-0.00698874483259432,0.066400258551313,0.120698934938105,0.201570389539657,0.149162027809572
"REACTOME_POTASSIUM_CHANNELS",-0.0328543575816019,-0.13553746692239,0.237473405357865,-0.0323020602206732,-0.0435051656719028,0.00293468239047917,-0.0674197764951393,0.0440155359810747,0.108333124894924,-0.085751058440571,0.13321081584503,-0.105192711687626,0.121502402136767,0.0199718464095907,0.138398249669715,-0.188012949648337,0.211816800987243,-0.0674250780139997,-0.0537033769560125,0.178112876399772,0.203784868013989,0.0860837062358059,0.12858865688978,0.133830167339496,0.049278864307496,0.183084286105161,-0.125748903070837,-0.149635119124667,-0.00193203125703384,0.0111912681803884,-0.0288398916890328,-0.111446713228248,0.103149403148015,-0.0620594448889342,0.32659305707273,0.0463985047494678,-0.139620962562835,-0.0185380247114528,0.0730932642337191,-0.0548516783098414,-0.159331739448373,-0.161578573221322,0.0325946097726488,0.0104156286484303,0.0913546340374203,0.0158506693906771,-0.225669797140262,-0.210371666760587,0.117328826016518,0.107114959212182,0.0976544494757769,0.0764890203262731,0.0258527077400826,-0.0137556519842054,0.137990081257693,0.0544731770333287,0.0223627367749398,-0.153742932932496,-0.0798612104021123,-0.183414784578235,-0.025229114631905,-0.183748891374196,-0.204697035840659,-0.205660648205534,-0.0553774376725268,-0.202958988227746,-0.0504278921583741,0.210674222891887,0.0335472093352525,0.0159974880303588,0.0696841293178513,0.232682441899888,0.0472408129606975,-0.182838587897682,-0.0516998073781247,-0.166242618904898,0.0890304734044663,-0.250090215632478,0.223410197615584,-0.0567061929449111,0.152782642006557,0.245322190421392,-0.175564191889099,-0.186230241072996,-0.166568233937907,-0.0314855002703887,0.084144127062115,-0.175949895397386,0.00933264222215877,0.00775215901018275,0.263735493914211,0.130791371850847,0.2103735438076,-0.0698327479592813,0.00360656695999875,0.174658507374981,-0.144328619092762,-0.193303526727822,0.00400879717945149,-0.0548497783069498,0.174022839053589,0.188768078682426,0.206285869976157,0.0443391075214609,0.0078115115597438,0.0854259156503063,-0.346477378692625,-0.0998169973746436,-0.0777944455021209,0.0115809314085137,0.257322515189224,-0.105640227070184,-0.0552116331109518,0.0834334184979654,-0.144391295839575,-0.0417414841789803,0.0359261713316558,-0.132730982264213,-0.0253297560944246,0.0893367519759646,-0.0979667192158189,-0.0101775712402614,-0.00502160015223641,-0.0705346637516592,-0.124024896414517,0.0986369443065146
"REACTOME_CELL_CYCLE",0.11786418930049,0.406894977217212,0.402146801196803,0.427678124414237,0.265933824328701,0.445919605290447,0.411609268447774,0.35214234843648,0.28202702116844,0.138952913327381,0.204063196035003,0.249003147150909,0.286430606647381,0.245817240026662,0.537031593052906,0.133367538093484,-0.21766878604976,0.496592299361383,0.382994885763151,0.17446088767785,0.252269229405698,0.281359082731729,0.336411662899298,0.0780811916269507,-0.108452052121006,0.0142560682981391,0.457411654245206,0.479941528497626,0.0114503893255158,0.247605918085445,0.507380248149712,0.505990392074784,-0.405475728977933,-0.329513462050174,0.131137117104335,-0.0250890450128621,-0.0300191009623183,0.285092991963536,-0.27721507004501,0.301032657256658,-0.138591396054998,-0.311131750512599,-0.494027504013257,0.404897189115546,-0.497740022942994,-0.0623473089770563,-0.383661730522013,-0.42780616619054,-0.357103639448996,0.286241486979395,-0.492977783753718,-0.454492702069304,0.402237525432274,0.3291542936037,-0.528949187880197,0.104971839631276,-0.531452634931167,0.277501121068744,-0.413964161058788,0.278056153285094,-0.122653815602019,0.0678945706769819,0.148278222383336,0.130257050220568,-0.305086186259923,0.107113337880586,-0.315013311206876,-0.387775790004055,-0.422873724210384,-0.163323312362598,-0.0775002958297521,0.324955690363325,-0.530758576951923,0.295597524245726,-0.25534217001212,0.279793865220092,-0.423754978356814,0.307116058256342,-0.546640704357533,0.292793738881589,-0.548339752204434,0.218623204820749,-0.45345450572683,0.188428745779215,-0.322795591559861,-0.336948416700543,-0.0291983624912023,0.348837589657504,-0.370904066803213,-0.3252266279735,-0.121364430417919,-0.193055284685691,0.474743130786259,-0.346924359078831,-0.513694519625507,-0.483036902379098,0.0741846438626601,-0.393705066255499,-0.310176220148687,0.380492620112684,-0.532945595851186,-0.351533048872582,0.22998766536207,0.382991062030178,0.319419118012704,0.0697255361046784,0.328841920504021,-0.226786103471179,-0.362117609586204,0.324716798976773,-0.40691553832109,-0.392736235567024,0.510204259658147,0.360382240200758,-0.183581711164143,0.216074588856451,-0.278280743513187,0.23802830105484,0.359716490876433,0.287221994842013,-0.391588507704781,-0.0663798011055612,-0.474222624997053,-0.269565991449314,0.083662036012182,-0.10438041602404
"GOBP_GASTRIC_ACID_SECRETION",-0.113066270376186,-0.20943968776077,0.0212895361374497,-0.288136408998133,0.0232367944961142,-0.510933441113757,-0.554725203956702,-0.106394691283473,-0.199413326222257,-0.456726341223111,-0.406750790764674,-0.476356696874462,-0.406759563187325,-0.586902180047809,-0.179334757658692,-0.589768173240906,-0.235791837174119,-0.0776648396426788,-0.245963711141286,0.158804168351106,-0.0987085309948841,-0.381138809046517,-0.535478962005623,-0.496296878951575,-0.476634366798495,-0.574467651675277,-0.306191911982277,-0.391346726976792,-0.33402195232019,-0.423571740919243,-0.517649849054223,-0.603058091984676,0.520707531338389,-0.453986571114236,-0.344017368418849,-0.320143015183798,-0.373518802363692,-0.106739415726953,0.516793311170767,-0.539076314947741,0.0640546984400785,-0.464288129843208,0.528932561352344,-0.572353188293678,0.374659625073265,-0.148525308733451,0.257588169084427,0.0649929134821346,0.490613155472104,-0.546904670646855,0.495265907480841,-0.00244308069650823,0.231769127620959,-0.526740976811446,0.536345647618021,-0.332231113728859,0.593419481612477,-0.342620649797215,0.567026528500826,-0.533409285591045,0.496031023617894,-0.523441630824969,-0.410065426576934,-0.0785288075371521,0.375210768270442,-0.220842246875884,0.342193685772438,0.560468081065244,0.448303804148598,-0.505626263857213,0.0227704778387559,-0.134838069362149,0.521985446809287,-0.272472202169106,0.431275947670779,-0.540810564501721,0.372758797827437,-0.584610120593291,0.488294070616059,-0.484634555677257,0.40507804451503,0.35121619588944,0.538321497808586,-0.308278693667292,0.439597939080061,-0.446420452284285,0.354060778567228,-0.283593405081873,0.470886886148566,0.160610275251687,0.53971465137364,0.425585833773984,-0.260726332349398,-0.459275197398005,0.449547317152292,0.542217578790101,0.487367071219965,-0.433583235654841,0.345442708147089,0.189261738249869,0.487332670923978,0.232859216209579,-0.00763415547430246,-0.295308102606024,-0.418375756926122,0.503998718495265,-0.602509057035948,0.100356978259718,-0.252094974630464,0.074100011257458,0.475651275584515,-0.397017635206308,-0.248803060320986,0.0490900833763257,0.458460770275689,0.217116731180064,0.26708154432268,-0.319105997042189,-0.445479395306201,-0.270542424059152,0.472870889999151,-0.270911356908667,0.362819186351921,0.270791859009809,-0.226643576807779,-0.306630342231215
"GOBP_INFLAMMATORY_RESPONSE",-0.312025992148724,-0.302225143965128,-0.0963232529589457,-0.219984397843988,0.197364628400517,0.332946309397162,0.300432099078614,0.327247636321292,0.405268528416807,0.261030465789546,0.365628036110671,0.439711339498098,0.405874855938577,0.233041101238571,0.278288314760043,0.299656761416525,-0.241446980108023,-0.318499350505761,-0.22850888282904,-0.263046798188297,-0.00992023829400301,-0.159259107428864,0.0369876692509352,0.0340487463755763,0.278374910596992,0.314661683088248,0.1575395182359,0.170384699955908,0.201460750997984,0.292388443350209,0.114911961702636,0.250298486969458,-0.147658159894029,-0.00262910248218612,0.408544889713803,0.0759754640523279,-0.0152094093788727,-0.155885194346529,0.299416063674136,-0.00059201598621067,-0.17434524736338,-0.161774397655324,-0.379545830157254,-0.284513193141012,-0.2858457603533,-0.228273789681454,-0.252490144287371,-0.0943375390915476,0.0924340866524628,0.0950567709943186,-0.397406645765613,-0.312086120566971,0.0833893976377994,-0.0642129404746035,-0.382633886422155,-0.238584723389985,-0.398319676286043,-0.189123702950007,-0.226997761269104,-0.0703808876740494,0.145129567216456,0.0374862837433794,-0.299486610509765,-0.194105287232211,-0.332836409550309,-0.00373338373923776,-0.17157045937137,-0.0465956374303919,0.0295179290972334,-0.112904132581881,-0.084354666356686,-0.222339813619778,-0.341874999152823,-0.316115798740081,0.124580962088128,-0.192948192128461,0.213886219360109,-0.210246855224918,-0.278435949494832,-0.138168515179055,-0.215945596684662,-0.0170007302785317,-0.208011555917859,-0.099521430923169,-0.235407185536208,-0.221080953178696,-0.187100009432032,-0.12596782067583,-0.342879961323111,-0.180600084407681,0.0360558367215872,-0.206924951923872,0.159795619532518,0.198222889281691,-0.358918078478295,-0.303139885745432,0.334248981647367,0.38763215117036,0.089679084697222,0.130341058215415,-0.350426676502712,0.0779823450609251,-0.104812317069067,0.156405370284581,0.385300974570238,0.214986185043983,-0.247842401099507,-0.296727128204317,-0.00310426496483884,0.285939852359317,0.186943666994492,0.267065833243942,0.257792937450026,0.0864297524698196,0.136152040949231,0.325830578527972,-0.25714631491687,0.0986560916676535,0.245241076144051,0.315071575182192,-0.279321581580021,0.285285279807123,-0.381197790644789,-0.0508792741657034,0.274507650156931,0.417732693699528
"GOBP_POTASSIUM_ION_TRANSPORT",0.023556797367966,-0.0599152073388969,0.214306589661007,0.0302211154601584,-0.0658475658640053,-0.0629472211675419,-0.0140901001431741,-0.0607149363116727,0.0276253840834585,-0.0900880845747374,0.0447150843109237,-0.102399854138663,0.0570442359325071,-0.0240206735858529,-0.0382674533817536,-0.0703236207896502,0.0863115622542785,0.0262967428312206,-0.0577638307476357,0.0597504293173062,0.0966639826403099,0.0829481179773582,0.0425552166913192,-0.00352616666075189,0.020616962642681,0.0770643122212143,-0.157941270614873,-0.162497628377864,-0.0197821271040894,-0.0424641696835688,-0.0193495384787057,-0.134407929999113,0.210249337157319,-0.00801630164801359,0.174317246269688,-0.026567648933368,-0.106747607124081,-0.0100213187911562,0.149966398293253,-0.112744329858936,-0.0794634056200748,-0.057993747382903,0.0885184550178605,-0.060619435154725,0.0835740443923595,-0.0144038025137421,-0.19745980402863,-0.157673705781446,0.0737931277152465,0.00586741249498801,0.0968530312353464,0.0261128277759549,-0.0281323622663529,-0.102842404073528,0.092376255817457,-0.100406084763615,0.0959221720127145,-0.14851458497538,-0.00703304029621354,-0.158302028723637,0.0921481423221239,-0.133425088403234,-0.141910133887488,-0.131974109623278,0.0603492005398598,-0.0939354647329833,0.0493851719398799,0.15093418617033,0.0763547344779487,0.0495553950651499,-0.000589525750045117,0.202245111609195,0.0346057600539181,-0.200761361488696,0.0461260492792975,-0.0945281368490108,0.120390025621112,-0.188789089659437,0.177038063810933,-0.0261737745025314,0.20059477139971,0.140660940556022,-0.0645601511917618,-0.245393849552967,-0.159450999578131,-0.0943388341579119,0.11660370277324,-0.10241530936063,0.0677704689272542,-0.014923927641189,0.17543677487684,0.00700436906468385,0.0783468043233873,-0.144872486213274,0.0581366328961496,0.152916519643461,-0.0649537085679828,-0.0447967139243401,-0.074781041551267,-0.107707646727737,0.159604186719951,0.0527681849939962,0.149517587509205,-0.022316131528284,-0.0236808584206276,0.171654855478324,-0.139405656016225,-0.101256306922126,-0.132649295805046,-0.0592377049742365,0.183359142821718,-0.0590802669177809,-0.0552899841625243,-0.0030484985913859,-0.0608455586297882,-0.0801857476680439,0.0205560332172066,-0.125295580180029,-0.0205880440323745,0.00638307392744203,-0.0312843579882003,-0.127721625338564,0.0989661279671609,0.0587463176192924,-0.206386477819419,-0.0148012219105683
"GOMF_POTASSIUM_CHANNEL_ACTIVITY",-0.0207963887354903,-0.12282320491572,0.237239710276326,-0.0121704367880421,-0.173551274244534,-0.0761473821392989,-0.100254194013003,-0.07870563296954,0.0644895646966128,-0.124000031153924,0.0867030070606888,-0.0993119547832785,0.144550028207737,-0.0412007762871314,0.0144478019583345,-0.150888109396893,0.175352045965489,-0.0368099840574062,-0.0778095859129082,0.139336754479089,0.164092456874189,0.0612545462314976,0.103241895942349,0.0928618288224094,-0.0816092104649775,0.13563743164115,-0.145621542138876,-0.13923497027979,-0.0330876628781282,-0.0202845520269607,-0.0315751862186823,-0.140764340848978,0.140868764690549,-0.11043363137715,0.259370904122484,-0.0230085326174109,-0.139114590047793,-0.05209070040088,0.178463621090765,-0.0803954203346691,-0.139769173589426,-0.147049542965444,0.114582428268726,0.00640397248706698,0.174740942759668,0.0429846921413344,-0.236354984532526,-0.209125571318896,0.0560094261679816,0.0492547260881022,0.0844651434378693,0.0939785386129758,0.0465453726161661,-0.0563104026031983,0.183397091995183,0.0725244974087336,0.123484394668645,-0.137936152470336,0.056629735637306,-0.170922347348281,0.0538229103856462,-0.201304009561136,-0.194265944169697,-0.193279796875793,0.0408058947789684,-0.120618662496702,0.00518951846875954,0.157549524421357,0.0656497792405535,0.114686091213703,0.0135399495023217,0.211096032892326,0.106818743602679,-0.140207964818817,-0.00228771565445313,-0.131743137825574,0.185816552294895,-0.156620145867131,0.287641950206182,-0.00887262946140444,0.159120052055365,0.101722045270677,-0.0486672189492639,-0.208303384949437,-0.1399940722347,-0.0602871309043193,0.122151890711915,-0.0944766456835884,0.0312297471667847,-0.0122333425464975,0.225172588347205,0.0351780849465406,0.115088020089857,-0.163091940948266,0.0397846071335189,0.217196515289041,-0.0755140082190785,-0.177661089466541,0.0182601899619259,-0.147361902741418,0.14963171488122,0.150305174780156,0.228181405573616,0.0282620914836559,0.0170240682719398,0.0945437121112368,-0.188455750087716,-0.127308815877342,-0.126558065336597,0.00677095890580909,0.201578304183582,-0.111992086053432,-0.0212911952973032,0.0378483613519869,-0.129751422613068,-0.117943123520875,0.0397184393440641,-0.116650161611675,-0.0702788385663883,0.00791480133310607,-0.0610871221864702,-0.106934396991739,0.0252976487627313,-0.0492509502805695,-0.223116149688601,-0.0198543612376253
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-0.361174514982212,-0.332284815399433,0.180250010645188,-0.349559087218445,0.374694987312728,0.278025565604161,0.168778220247292,0.525479177090454,0.695889397774477,0.364888134446508,0.463581889566061,0.641664910719488,0.410610950765303,0.43083086717245,0.455054702738143,0.457267451001613,-0.375771093001329,-0.179981585109234,-0.26472558199385,-0.3572836386165,-0.181106544202917,-0.0450265150051773,0.453057002320584,0.318143218951886,0.576511835204053,0.386566198055789,0.207272640549082,0.338888213572963,0.204734929223304,0.22606501548898,0.449591632597096,0.193857935902879,-0.488255304132534,-0.0474670399682621,0.509836146510258,0.372564046589795,0.040500895552495,0.04689878277407,0.256800586159983,-0.349087371042953,-0.184179438923419,-0.206145225583282,-0.651908733599372,-0.55767518788766,-0.53782914684459,-0.394366210464712,-0.405110371773883,-0.137385116733825,0.384726145795963,0.124789091471802,-0.581061569464508,-0.49294375388074,-0.0456803771909982,-0.208147709797584,-0.634355793025847,-0.286477493194601,-0.608637191444732,0.0437190284760893,-0.105012484631633,-0.308348730031333,0.176336360455233,0.0301349121314656,-0.34542562964851,0.063058274915415,-0.552282405478647,0.0753010619464934,0.0771401444419635,-0.303234728617993,0.0996911923823969,0.24709585012997,-0.278746500451654,0.192790541578035,-0.438394791886316,-0.391655742277922,0.311573075986554,-0.418146569346506,0.0206274546234444,-0.440220372621499,-0.613194718333692,-0.432030374714375,-0.571114062737637,-0.146943301484048,-0.284312376814914,-0.302662402060921,-0.365449982438244,-0.118061684639256,-0.495299929712822,0.0231300131046831,-0.472453256314965,-0.411378945345509,-0.240444906124341,-0.513592862771037,0.14154242819169,0.501987872765144,-0.429336533704796,-0.378423806204969,0.695386988235832,0.677502540411474,0.503207014891176,0.509566312556781,-0.594894713407792,-0.20800286479283,0.0857185937455982,0.238515474704004,0.633612527428181,0.495778986598924,-0.0515881641671511,0.0743569849819214,0.264292328024154,0.394982495966274,0.0316448272406467,0.43636953358535,0.535392677192896,0.096285218416044,-0.216481224005963,0.635501686863368,-0.532263031949399,-0.174845544827564,0.1931261531661,0.255924313711865,-0.483020729879454,0.40123300495933,-0.63378043015754,-0.250183839544124,0.492164245774877,0.583093059236972
"Cell cycle",0.0595606751184951,0.345107575244742,0.372439973426756,0.437274867885347,0.231598307879212,0.443176436674794,0.352162127063944,0.254576904756335,0.209271734069157,0.0331613739448122,0.122383055736025,0.225588192385722,0.205509584569345,0.244745166716703,0.493638547792169,0.110148056567847,-0.318542873143234,0.476751815235986,0.363533052572237,-0.00308624676515229,0.0906033773871222,0.201371160892878,0.270388729022544,-0.0553003601471314,-0.22099694620483,-0.190672613600784,0.407264878923592,0.477287527605863,0.000825334791664689,0.292725097788509,0.478541258865284,0.487949429928518,-0.392283587557197,-0.184470746611583,0.0534401862298146,-0.068773647546471,-0.035514545856599,0.31402093014975,-0.290112162315982,0.324252496686227,-0.116115933234392,-0.169116533531242,-0.487892839521959,0.436157391276204,-0.475194265562666,-0.101880602180628,-0.417943190389178,-0.441691922590485,-0.275780930170443,0.248002722830183,-0.475580225506242,-0.506051531733987,0.417678317234789,0.352653539293381,-0.514696557504707,0.112393708841257,-0.515139755162123,0.311014759570615,-0.385345186235187,0.32491925563976,-0.0470302703323973,0.0932324415712722,0.120659822814088,0.0934768861096421,-0.263479933733564,0.116244026818692,-0.333331451523322,-0.368044244924518,-0.391918709358956,-0.206622529249207,-0.00982520279903704,0.204208073493075,-0.521259753480593,0.223472166502,-0.14428252696293,0.308091954697585,-0.400681662545071,0.216906008011953,-0.578720586747056,0.305407195326997,-0.534679280243255,0.104803756746269,-0.433265131754375,0.1296278165016,-0.288518470256288,-0.368588690408211,0.0340367841366373,0.357869438190278,-0.27074677806604,-0.331679858129648,-0.0537059493663733,-0.0895177223720054,0.347694787284498,-0.344231944078347,-0.506840142051671,-0.431995605344421,0.0867673903420852,-0.342041607169934,-0.362587569599527,0.355342258357634,-0.527014896155517,-0.413648936839938,0.0698234319556276,0.318478171926446,0.321973744538044,0.0542797221703898,0.402352090079342,-0.269967880095229,-0.274359885547487,0.307231379012696,-0.350367593219729,-0.31717372047697,0.444247572931422,0.310049356794512,-0.193994381997709,0.126499347468674,-0.263678370820364,0.162283221262872,0.382636533884725,0.145536552552084,-0.368976268826919,-0.0341534448651798,-0.436016010586038,-0.193941881709488,0.0354176372927833,-0.148761946699617
"IL-17 signaling pathway",-0.125186351461708,-0.189927646441241,-0.111471151147128,-0.115768096264559,0.206662608348948,0.420291253957975,0.206739308186428,0.38401759096465,0.382472103894157,0.0801651212614979,0.387077939529974,0.465282974149328,0.322769080972108,0.185563418677834,0.378174325976821,0.132775233497287,-0.301685145677096,-0.237354164635249,-0.217286769898319,-0.303223909829091,-0.0574847205369858,-0.123511114292911,0.143867672451595,-0.0683013973903506,0.14710567728249,0.348321215543831,0.170710650395966,0.333055458587792,-0.026702154209173,0.0185116469193003,0.330246053360579,0.259074967066865,-0.307650420242261,-0.106699949287795,0.216248088392967,-0.0952225311346839,-0.222541547827731,-0.0660429981362023,0.0368490481568792,0.145279425736199,-0.253892396484705,-0.370064985765936,-0.428410822236831,-0.28501439475188,-0.435405147321891,0.0515808459306689,-0.223332724728701,0.00676561413601234,0.0811152530538869,0.128333933730596,-0.567790595442633,-0.331837263974279,0.244673106355967,0.175555544934556,-0.4892262595523,0.150400291221624,-0.386751856493006,0.130696759096634,-0.320353207624569,0.0125934343406279,0.273782409357723,0.119747531963228,-0.138422707517922,-0.0229383843483383,-0.384424910641588,0.100800541884955,0.0143607073649623,-0.417562128561266,-0.173363533174239,-0.192492899081841,-0.18975265581249,-0.10273969738584,-0.433603745816975,0.00171439120124453,0.164567708692549,-0.215259651475597,-0.0587452939931924,0.0339789216121834,-0.485348808175657,-0.116915455204762,-0.485298618358345,-0.0932648852933419,-0.166972551907638,0.0504048375091168,-0.16231061717755,-0.199284199057939,-0.213150529925908,0.107345058982178,-0.242102425483504,0.155529214652251,-0.134856474945226,-0.234269232771019,0.232836508472487,0.28530783946654,-0.442452730891734,-0.453727823586837,0.435426783050869,0.377405190838442,-0.0663571751499285,0.239681697735503,-0.34784159694433,0.186279319516696,-0.170755770178787,0.241687202349755,0.463233415774051,0.363914735357287,-0.0879827242951121,0.0116103266066471,-0.179996320968531,0.244021008284024,-0.251577410671174,0.235275869208914,0.506213037678892,0.211920710456001,-0.123851068315429,0.20628533574796,-0.36389992701565,0.0594028326120065,0.290603032453079,0.181199776699577,-0.357676518499637,0.279619647099333,-0.477689213703727,0.0561505878100603,0.167661416627976,0.357870789088716
