id,gastritis_subtypeB,gastritis_subtypeA
GSM1341860,0.408437333,0.44526188
GSM1341861,0.480267654,0.337183348
GSM1341862,0.565037147,0.364605597
GSM1341863,0.428470289,0.396812028
GSM1341864,0.632502898,0.188209434
GSM1341865,0.562193888,0.399347943
GSM1341866,0.636951137,0.198893595
GSM1341867,0.570207256,0.197255118
GSM1341868,0.484017805,0.216168428
GSM1341869,0.433593832,0.571276142
GSM1341870,0.378278132,0.288663906
GSM1341871,0.431309446,0.257832935
GSM1341872,0.510576638,0.367586147
GSM1341873,0.397787984,0.458536351
GSM1341874,0.452078475,0.331009692
GSM1341875,0.415815734,0.418994541
GSM1341876,0.345930636,0.393523079
GSM1341877,0.441332858,0.342886923
GSM1341878,0.58741514,0.214153153
GSM1341879,0.749004017,0.015958314
GSM1341880,0.740704535,-0.043179312
GSM1341881,0.706029647,0.122702288
GSM1341882,0.640891419,0.10171672
GSM1341883,0.445124642,0.461798741
GSM1341884,0.495691259,0.337540033
GSM1341885,0.489355531,0.518346501
GSM1341886,0.437600021,0.253543567
GSM1341887,0.779925768,-0.059465334
GSM1341888,0.692458541,0.068012574
GSM1341889,0.418775635,0.359171645
GSM1341890,0.680563678,0.062670671
GSM1341891,0.693795862,-0.004663977
GSM1341892,0.610122205,0.077367716
GSM1341893,0.410804605,0.391741648
GSM1341894,0.687350358,0.177309685
GSM1341895,0.587846177,0.145432922
GSM1341896,0.584998684,0.166770163
GSM1341897,0.603554363,0.134064699
GSM1341898,0.422647074,0.615060538
GSM1341899,0.422450603,0.21285955
GSM1341900,0.598092219,-0.070587795
GSM1341901,0.589858561,0.45334242
GSM1341902,0.351625588,0.561903191
GSM1341903,0.085696255,0.757410505
GSM1341904,0.507388696,0.346592727
GSM1341905,0.617590089,0.118349238
GSM1341906,0.621106927,0.089577912
GSM1341907,0.654359903,0.043012613
GSM1341908,0.628899867,-0.04533605
GSM1341909,0.741764393,-0.089018037
GSM1341910,0.661725337,0.096284985
GSM1341911,0.652134606,0.158544225
GSM1341912,0.636055438,0.022500197
GSM1341913,0.637514487,-0.043838788
GSM1341914,0.587735344,-0.016429091
GSM1341915,0.700254685,0.029629743
GSM1341916,0.694559073,0.030338095
GSM1341917,0.643325696,0.268860245
GSM1341918,0.691664955,-0.039587967
GSM1341919,0.728389395,-0.010245379
GSM1341920,0.612443445,0.207234514
GSM1341921,0.294246683,0.432604198
GSM1341922,0.654904591,0.148405346
GSM1341923,0.07242645,0.8516107
GSM1341924,0.619831971,0.228552188
GSM1341925,0.742957308,-0.101379968
GSM1341926,0.646082116,0.059441597
GSM1341927,0.510750924,0.329461084
GSM1341928,0.722654236,0.018841512
GSM1341929,0.310754319,0.544181204
GSM1341930,0.468238604,0.260353788
GSM1341931,0.555846675,0.272659876
GSM1341932,0.481634823,0.464396049
GSM1341933,0.463858871,0.446980054
GSM1341934,0.754270276,-0.117161921
GSM1341935,0.302254707,0.445728167
GSM1341936,0.58131971,0.286698266
GSM1479654,0.36475829,0.31550973
GSM1479655,0.533959535,0.304310632
GSM1479656,0.266000048,0.583672467
GSM1479657,0.576882265,0.238891924
GSM1479658,0.305906522,0.521075055
GSM1479659,0.69838791,0.060911748
GSM1479660,0.584099693,0.296226046
GSM1479661,0.437375831,0.460978791
GSM1479662,0.435157616,0.441134291
GSM1479663,0.192336787,0.444834385
GSM1479664,0.335193241,0.495394614
GSM1479665,0.63185615,0.078058529
GSM1479666,0.658390536,0.15013272
GSM1479667,0.815615181,-0.015288917
GSM1479668,0.588342993,0.270711004
GSM1479669,0.753966312,0.047077136
GSM1479670,0.332388755,0.361756406
GSM1479671,0.510480609,0.219976437
GSM1479672,0.599090579,0.136741984
GSM1479673,0.366446155,0.321985934
GSM1479674,0.336354549,0.458940617
GSM1479675,0.499303387,0.45745218
GSM1479676,0.454921676,0.166330097
GSM1479677,0.643325893,0.144868612
GSM1479678,0.685017968,0.36858644
GSM1479679,0.531120451,0.292565149
GSM1479680,0.56912669,0.08322939
GSM1479681,0.684441571,0.198806044
GSM1479682,0.801932647,-0.034843297
GSM1479683,0.718092334,0.097593509
GSM1479684,0.752661416,0.034329109
GSM1479685,0.74122624,0.065935389
GSM1159807,0.40813519,0.261674257
GSM1159808,0.461201389,0.342348029
GSM1159809,0.388375732,0.326912678
GSM1159810,0.471613411,0.258062007
GSM1159811,0.419117026,0.509432658
GSM1159812,0.407695144,0.567775385
GSM1159813,0.439172437,0.514624809
GSM1159814,0.48642673,0.564964374
GSM1159815,0.666963016,0.182621065
GSM1159816,0.575754884,0.336889356
GSM1159817,0.575597065,0.286233052
GSM1159818,0.567029614,0.230653563
GSM1159819,0.547762904,0.074371087
GSM1159820,0.756907845,0.011370987
GSM1159821,0.826956383,0.044689316
GSM1159822,0.755608123,-0.030436538
GSM3754774,0.386903798,0.561110051
GSM3754775,0.79247756,-0.076013948
GSM3754776,0.652005362,0.099605559
GSM3754777,0.793742615,-0.104262883
GSM3754778,0.790471006,-0.044863179
GSM3754779,0.716976665,0.026538915
GSM3754780,0.460129018,0.484297347
GSM3754781,0.72906318,-0.000519153
GSM3754782,0.626360672,0.202095936
GSM3754783,0.776959871,-0.105770274
GSM3754784,0.135176063,0.655208724
GSM3754785,0.75616277,-0.047917544
GSM3754786,0.130064183,0.666194508
GSM3754787,0.59033919,0.1594215
GSM3754788,0.458696109,0.232812555
GSM3754789,0.626941899,0.007387921
GSM3754790,0.330111221,0.585025077
GSM3754791,0.700975436,0.069930189
GSM3754792,0.203740233,0.640518851
GSM3754793,0.366145417,0.327687533
GSM3754794,0.588342321,0.385793157
GSM3754795,0.767070897,-0.053186974
GSM3754796,0.135043819,0.727263498
GSM3754797,0.69684053,0.062805544
GSM3754798,0.108977154,0.687947628
GSM3754799,0.798925677,-0.054326657
GSM3754800,0.235850786,0.616809364
GSM3754801,0.757858226,-0.055052187
GSM3754802,0.422982105,0.545873486
GSM3754803,0.751855977,-0.028478967
GSM3754804,0.586614077,0.169534138
GSM3754805,0.628802399,0.011331478
GSM3754806,0.271557961,0.6475803
GSM3754807,0.730522983,-0.027975789
GSM3754808,0.42180736,0.401380509
GSM3754809,0.323348911,0.508477892
GSM3754810,0.331032209,0.62193025
GSM3754811,0.730233281,-0.035336539
GSM3754812,0.753207286,0.013312191
GSM3754813,0.497856682,0.198558701
GSM3754814,0.137488237,0.665979816
GSM3754815,0.739246106,-0.101255146
GSM3754816,0.422223627,0.52662163
GSM3754817,0.714418117,-0.036379912
GSM3754818,0.301990835,0.545469013
GSM3754819,0.740947054,-0.107599077
GSM3754820,0.144071793,0.673393636
GSM3754821,0.685371257,-0.068611407
GSM3754822,0.175977325,0.669177694
GSM3754823,0.675542863,0.274979355
GSM3754824,0.284814138,0.550833954
GSM3754825,0.65412936,0.015251886
GSM3754826,0.38042627,0.469622532
GSM3754827,0.768812161,-0.046171427
GSM3754828,0.450704655,0.412999154
GSM3754829,0.711980365,0.014152268
GSM3754830,0.314429588,0.609095888
GSM3754831,0.481823208,0.383118151
GSM3754832,0.651909531,0.367646737
GSM3754833,0.469282736,0.459261854
GSM3754834,0.670557088,0.154955282
GSM3754835,0.779887643,-0.128387855
GSM3754836,0.188539936,0.634123072
GSM3754837,0.217935598,0.652107718
GSM3754838,0.625099004,0.227767608
GSM3754839,0.790307594,-0.1483893
GSM3754840,0.574682862,0.27178853
GSM3754841,0.61497228,0.167936896
GSM3754842,0.137100831,0.659470827
GSM3754843,0.500686367,0.342737558
GSM3754844,0.638250509,0.186666468
GSM3754845,0.733585414,0.033653519
GSM3754846,0.710825896,0.144241399
GSM3754847,0.586993114,0.403790159
GSM3754848,0.723527199,-0.108605823
GSM3754849,0.505979565,0.15347806
GSM3754850,0.72801742,-0.136489706
GSM3754851,0.717840741,0.080146147
GSM3754852,0.343372215,0.490764083
GSM3754853,0.72440943,-0.064657556
GSM3754854,0.720047558,0.036817011
GSM3754855,0.656566574,0.130419852
GSM3754856,0.486195153,0.533100814
GSM3754857,0.636604361,0.341668987
GSM3754858,0.21505435,0.622490362
GSM3754859,0.558619157,0.123481947
GSM3754860,0.739941581,0.003916048
GSM3754861,0.636702151,0.203954791
GSM3754862,0.261747355,0.557157315
GSM3754863,0.700462869,-0.016414831
GSM3754864,0.143114766,0.715269215
GSM3754865,0.735695107,0.29137058
GSM3754866,0.78481694,-0.067816196
GSM3754867,0.710984262,0.040396443
