,id,gastritis_subtypeB,gastritis_subtypeA,title,source_name_ch1,GSE,Group
1,GSM1341860,0.408437333,0.44526188,chronic gastritis tissue sample 1,inflammation,GSE55696,Gastritis
2,GSM1341861,0.480267654,0.337183348,chronic gastritis tissue sample 2,inflammation,GSE55696,Gastritis
3,GSM1341862,0.565037147,0.364605597,chronic gastritis tissue sample 3,inflammation,GSE55696,Gastritis
4,GSM1341863,0.428470289,0.396812028,chronic gastritis tissue sample 4,inflammation,GSE55696,Gastritis
5,GSM1341864,0.632502898,0.188209434,chronic gastritis tissue sample 5,inflammation,GSE55696,Gastritis
6,GSM1341865,0.562193888,0.399347943,chronic gastritis tissue sample 6,inflammation,GSE55696,Gastritis
7,GSM1341866,0.636951137,0.198893595,chronic gastritis tissue sample 7,inflammation,GSE55696,Gastritis
8,GSM1341867,0.570207256,0.197255118,chronic gastritis tissue sample 8,inflammation,GSE55696,Gastritis
9,GSM1341868,0.484017805,0.216168428,chronic gastritis tissue sample 9,inflammation,GSE55696,Gastritis
10,GSM1341869,0.433593832,0.571276142,chronic gastritis tissue sample 10,inflammation,GSE55696,Gastritis
11,GSM1341870,0.378278132,0.288663906,chronic gastritis tissue sample 11,inflammation,GSE55696,Gastritis
12,GSM1341871,0.431309446,0.257832935,chronic gastritis tissue sample 12,inflammation,GSE55696,Gastritis
13,GSM1341872,0.510576638,0.367586147,chronic gastritis tissue sample 13,inflammation,GSE55696,Gastritis
14,GSM1341873,0.397787984,0.458536351,chronic gastritis tissue sample 14,inflammation,GSE55696,Gastritis
15,GSM1341874,0.452078475,0.331009692,chronic gastritis tissue sample 15,inflammation,GSE55696,Gastritis
16,GSM1341875,0.415815734,0.418994541,chronic gastritis tissue sample 16,inflammation,GSE55696,Gastritis
17,GSM1341876,0.345930636,0.393523079,chronic gastritis tissue sample 17,inflammation,GSE55696,Gastritis
18,GSM1341877,0.441332858,0.342886923,chronic gastritis tissue sample 18,inflammation,GSE55696,Gastritis
19,GSM1341878,0.58741514,0.214153153,chronic gastritis tissue sample 19,inflammation,GSE55696,Gastritis
20,GSM1341879,0.749004017,0.015958314,LGIN tissue sample 1,LGD,GSE55696,LGN
21,GSM1341880,0.740704535,-0.043179312,LGIN tissue sample 2,LGD,GSE55696,LGN
22,GSM1341881,0.706029647,0.122702288,LGIN tissue sample 3,LGD,GSE55696,LGN
23,GSM1341882,0.640891419,0.10171672,LGIN tissue sample 4,LGD,GSE55696,LGN
24,GSM1341883,0.445124642,0.461798741,LGIN tissue sample 5,LGD,GSE55696,LGN
25,GSM1341884,0.495691259,0.337540033,LGIN tissue sample 6,LGD,GSE55696,LGN
26,GSM1341885,0.489355531,0.518346501,LGIN tissue sample 7,LGD,GSE55696,LGN
27,GSM1341886,0.437600021,0.253543567,LGIN tissue sample 8,LGD,GSE55696,LGN
28,GSM1341887,0.779925768,-0.059465334,LGIN tissue sample 9,LGD,GSE55696,LGN
29,GSM1341888,0.692458541,0.068012574,LGIN tissue sample 10,LGD,GSE55696,LGN
30,GSM1341889,0.418775635,0.359171645,LGIN tissue sample 11,LGD,GSE55696,LGN
31,GSM1341890,0.680563678,0.062670671,LGIN tissue sample 12,LGD,GSE55696,LGN
32,GSM1341891,0.693795862,-0.004663977,LGIN tissue sample 13,LGD,GSE55696,LGN
33,GSM1341892,0.610122205,0.077367716,LGIN tissue sample 14,LGD,GSE55696,LGN
34,GSM1341893,0.410804605,0.391741648,LGIN tissue sample 15,LGD,GSE55696,LGN
35,GSM1341894,0.687350358,0.177309685,LGIN tissue sample 16,LGD,GSE55696,LGN
