gene,logFC,P.Value,adj.P.Val
TRIM15,2.05371395592621,1.20557181700639e-18,2.2143340348864868e-15
MUC17,3.17067947464108,5.17260561446283e-18,6.333855574909735e-15
FAR2,1.56116027921403,8.683048036223339e-18,8.799221230639018e-15
C11orf86,3.14420559180956,2.56595818553781e-17,1.9101477021983993e-14
TRIM29,2.50045898019868,5.3708074710111604e-17,3.3582402118739574e-14
C14orf129,0.821854891464822,7.76992659034528e-16,3.805710043951118e-13
VIL1,2.9058235508645,3.65263348837996e-15,1.4124156967961878e-12
CLDN2,2.58038581789952,5.56268555318116e-15,1.9232494474927994e-12
DHFR,1.03916762190568,1.25665077717966e-14,3.785683654371328e-12
UPP1,1.87354150616181,1.64545966042026e-14,4.621016785242343e-12
CEACAM6,2.99473433614626,2.09302017863559e-14,5.6666290252304796e-12
F12,1.80186339496274,2.3621814275648302e-14,6.1981953386852885e-12
AGMAT,1.7353661750758,2.46078739771157e-14,6.3997893844201434e-12
ABHD11-AS1,1.73385468904605,2.53693935144592e-14,6.539962601780061e-12
NRBP1,0.583619883244532,3.47458007778726e-14,8.65347112932305e-12
ABTB2,1.20469075123795,4.31569873641348e-14,1.0227537375067864e-11
IRAK2,1.30233808783965,5.08796500024164e-14,1.1414130948633689e-11
CHRNA5,1.66284482064654,5.89138251168394e-14,1.2824885129879084e-11
TRIM10,1.10849044476364,6.70110278489846e-14,1.4167770405942152e-11
GRIN2D,2.37309570278527,8.52015527661041e-14,1.742842824391337e-11
XLOC_l2_015800,1.92768510851915,8.93246298614334e-14,1.7979946728546608e-11
ANXA2,0.843918262702742,9.05707527360423e-14,1.8106757016372865e-11
MALL,2.32431188439258,1.01570080421507e-13,1.9899610156181653e-11
GJB2,1.37147441046053,1.06308236240604e-13,2.0689976467807088e-11
LDHA,0.9088503521075,1.30968193103923e-13,2.5156165091098625e-11
CEACAM3,1.94182824037038,1.38760375004401e-13,2.6308967100834434e-11
ADORA2B,2.2754864512179,1.40346991557251e-13,2.6439214024900595e-11
CEACAM1,1.28217900695301,2.19794344081188e-13,3.976452807294869e-11
ACOT7,0.951624508605223,2.2055322158332099e-13,3.976452807294869e-11
AGR3,1.06329243895803,2.25430038449095e-13,4.039596323135368e-11
CD55,1.65522410351273,2.45109470131141e-13,4.3133395857568694e-11
NOXO1,1.14429090423383,2.57812765590409e-13,4.483990412260195e-11
LRR1,0.744331099713699,2.69631195670334e-13,4.6611303402116326e-11
ANXA2P3,1.17765460682455,3.08282320245237e-13,5.2067820846936926e-11
PPA1,0.649754998320116,3.41160412794193e-13,5.632596747862777e-11
BAIAP2L2,1.43737927837056,3.84981282078189e-13,6.216390064677921e-11
CLDN4,1.33401919273638,4.18512161381429e-13,6.626603306694227e-11
ANXA2P1,1.00235558861217,4.52236167932874e-13,6.994903422742789e-11
LACTB,0.516113172697696,4.68621743391567e-13,7.172841559787173e-11
FUT5,1.32212767752312,4.75873254556678e-13,7.24609492482469e-11
RAB3B,1.45264193088502,7.25528205269608e-13,1.0566336945208268e-10
GCNT3,1.81174587999672,7.27019881218399e-13,1.0566336945208268e-10
CCL15,1.97800596556197,7.41023859329635e-13,1.0623028867306982e-10
SERPINB5,2.8198444725381,7.73561293051245e-13,1.0982328154681152e-10
INPP1,1.13552697481904,9.05481000058157e-13,1.2493087150098178e-10
STARD5,0.947120330283677,9.26960247090035e-13,1.272967651471119e-10
C20orf118,2.17578335259789,9.46601092825713e-13,1.2879033757389838e-10
FUT3,1.44843175265166,9.54456399627483e-13,1.2901323096135584e-10
TMEM150B,1.18209175212425,9.77064813643531e-13,1.311140673212607e-10
ABP1,2.10123995616234,1.00744042859225e-12,1.3406379909171389e-10
PGM2,0.617096549841868,1.0352666974500199e-12,1.3643236638861519e-10
LOC100505535,1.29604886641992,1.17880232554953e-12,1.5396730108110927e-10
ZMYND15,0.679293381422515,1.2325698018952e-12,1.6027770503582362e-10
XLOC_l2_008124,0.948523220179456,1.39338540465657e-12,1.7881576538011913e-10
ST14,0.54871575142345,1.74914473034296e-12,2.1329404703451828e-10
CD58,0.701764839538987,1.78474019243832e-12,2.1408140724643814e-10
C19orf21,1.49597902065277,1.8710188282853097e-12,2.2261336569088536e-10
ONECUT3,1.51442452903227,1.94863407676636e-12,2.262540682903536e-10
ATL3,0.605590757450802,1.95551018598577e-12,2.262540682903536e-10
SCARB1,0.593631039858829,2.08797279747132e-12,2.4063272381210646e-10
CCRL2,1.14528715536595,2.11436527108123e-12,2.4063955786053603e-10
XLOC_l2_013737,1.05168888815929,2.2379738735602996e-12,2.5192283914671546e-10
CXCL16,0.636930442893777,2.33656321870372e-12,2.5912045234439593e-10
ANXA4,0.575582456755139,2.35165491726826e-12,2.596010227776704e-10
CALML4,1.12976131277498,2.5803514723339097e-12,2.8295286966025723e-10
BAK1,0.710334599385,2.85960917079488e-12,3.0467708853318744e-10
S100A10,1.20632845875124,3.23350317134864e-12,3.393792542842637e-10
LOC439990,1.1590244566363,3.46514288330534e-12,3.598361097334888e-10
SLC6A14,2.35512460630824,3.7156841589143996e-12,3.8180603518243486e-10
NACC2,0.563984044336549,3.73314248993027e-12,3.822633849967623e-10
GPR37L1,1.1486750859006,4.25076525848228e-12,4.33755171584296e-10
LYN,0.812723246913949,4.37722581605683e-12,4.4054079548725383e-10
TMEM45B,1.00793455873034,4.7616085953526694e-12,4.743530623736415e-10
ISY1-RAB43,0.621771456147668,5.3047722907493895e-12,5.179290633905085e-10
ETS2,0.950281542478025,5.5531307184909495e-12,5.354112656223801e-10
XLOC_l2_013480,0.96623970463085,5.73439833215219e-12,5.491966131904924e-10
CEACAM7,1.66753536045697,5.74327426442632e-12,5.491966131904924e-10
MFSD2A,2.12900700970625,5.755837650152159e-12,5.491966131904924e-10
ERI1,0.602115550561161,6.0812307628084495e-12,5.74646976390401e-10
AFAP1L2,1.10162272721968,6.12077284002566e-12,5.76529718662417e-10
RHOC,0.704730602148391,6.4366384147634394e-12,6.019973245632315e-10
SFT2D2,0.636058635888305,6.45260505095338e-12,6.019973245632315e-10
TBC1D1,0.548066109136566,6.65868685321413e-12,6.173043824676872e-10
NAT1,0.866219054848545,8.53325737469704e-12,7.62235160266251e-10
PTAFR,1.34754055588938,9.660148684454109e-12,8.427224373397319e-10
PARP12,0.698183339804386,9.708275767802579e-12,8.441029830301248e-10
HMGA1,0.704396923699464,1.00696644031391e-11,8.729418804703594e-10
GCH1,0.694789821955651,1.1543286292516699e-11,9.861456324548859e-10
LOC388242,1.12087723595733,1.1909311063932199e-11,1.0057207860541364e-09
SEC23A,0.738280015213725,1.2660656527894499e-11,1.0540265553591035e-09
INPP4A,0.898781548173265,1.4051552414505299e-11,1.1313617050889911e-09
C14orf1,0.547169158196202,1.4346529334650099e-11,1.1519557488707571e-09
FGFBP1,2.45057349020088,1.5508649639112097e-11,1.2209598401041656e-09
SLC16A3,0.683970326680559,1.64793118740334e-11,1.2711129064411904e-09
S100A16,0.877665519710034,1.6542714516388498e-11,1.2726630738419508e-09
AVL9,0.536999423641893,1.69476237663514e-11,1.2936539408974934e-09
TMEM62,0.502697876425618,1.7602022404818098e-11,1.3366621044775045e-09
PPP1R14D,1.82736656010764,1.82660693571319e-11,1.3799569312786432e-09
