ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010273,detoxification of copper ion,9/823,16/18860,0.5625,12.89034021871203,10.163535771507114,4.7703281207109865e-9,8.491217560158349e-6,7.8593512822313e-6,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:1990169,stress response to copper ion,9/823,16/18860,0.5625,12.89034021871203,10.163535771507114,4.7703281207109865e-9,8.491217560158349e-6,7.8593512822313e-6,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:0098659,inorganic cation import across plasma membrane,24/823,139/18860,0.17266187050359713,3.9567471174943405,7.47367409822543,7.359668524514278e-9,8.491217560158349e-6,7.8593512822313e-6,KCNE2/KCNJ16/ATP4B/KCNJ18/SLC5A2/ATP4A/KCNJ12/SLC9A4/KCNJ15/NEDD4L/PPP3CC/SLC9A7/SCNN1B/KCNQ1/ABCC8/SCNN1G/KCNJ13/SLC8A2/ATP1B2/SLC9A3/KCNJ10/TRPV6/KCNJ8/KCNJ11,24
GO:0099587,inorganic ion import across plasma membrane,24/823,139/18860,0.17266187050359713,3.9567471174943405,7.47367409822543,7.359668524514278e-9,8.491217560158349e-6,7.8593512822313e-6,KCNE2/KCNJ16/ATP4B/KCNJ18/SLC5A2/ATP4A/KCNJ12/SLC9A4/KCNJ15/NEDD4L/PPP3CC/SLC9A7/SCNN1B/KCNQ1/ABCC8/SCNN1G/KCNJ13/SLC8A2/ATP1B2/SLC9A3/KCNJ10/TRPV6/KCNJ8/KCNJ11,24
GO:0001696,gastric acid secretion,8/823,14/18860,0.5714285714285714,13.09494879361222,9.670202168832745,3.0217217224573135e-8,2.0995322311929385e-5,1.9432974383716588e-5,SLC26A7/PTGER3/CCKBR/GHRL/HIP1R/SLC9A4/SGK1/KCNQ1,8
GO:1990573,potassium ion import across plasma membrane,14/823,52/18860,0.2692307692307692,6.169735489298065,7.973991747561036,3.066330775611838e-8,2.0995322311929385e-5,1.9432974383716588e-5,KCNE2/KCNJ16/ATP4B/KCNJ18/ATP4A/KCNJ12/KCNJ15/KCNQ1/ABCC8/KCNJ13/ATP1B2/KCNJ10/KCNJ8/KCNJ11,14
GO:0071805,potassium ion transmembrane transport,29/823,208/18860,0.13942307692307693,3.1950415926722124,6.799685297416236,3.184555930303482e-8,2.0995322311929385e-5,1.9432974383716588e-5,KCNK2/KCNE2/KCNJ16/KCNMB2/FXYD4/KCNIP3/ATP4B/KCNJ18/HPN/ATP4A/KCNJ12/SLC9A4/KCNJ15/NEDD4L/SLC9A7/KCNQ1/ABCC8/NALCN/KCNJ13/KCNIP4/LRRC52/ATP1B2/SLC9A3/LRRC26/KCNJ10/KCNG4/KCNE4/KCNJ8/KCNJ11,29
GO:0071294,cellular response to zinc ion,10/823,25/18860,0.4,9.166464155528555,8.727670614923602,4.267320515439905e-8,2.461710522344395e-5,2.278524559428307e-5,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/GABRB3/MT2A/MT1H,10
GO:0097501,stress response to metal ion,9/823,21/18860,0.42857142857142855,9.821211595209164,8.639449276982353,1.0059735739242353e-7,5.158408937400385e-5,4.774550599981926e-5,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:0061687,detoxification of inorganic compound,9/823,23/18860,0.391304347826087,8.96719319562576,8.166585115043185,2.584647929654273e-7,1.192815019535447e-4,1.104052768267057e-4,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:0006813,potassium ion transport,29/823,240/18860,0.12083333333333333,2.769036046982584,5.891549897405679,7.114970333687569e-7,2.9850534627243755e-4,2.7629234080482444e-4,KCNK2/KCNE2/KCNJ16/KCNMB2/FXYD4/KCNIP3/ATP4B/KCNJ18/HPN/ATP4A/KCNJ12/SLC9A4/KCNJ15/NEDD4L/SLC9A7/KCNQ1/ABCC8/NALCN/KCNJ13/KCNIP4/LRRC52/ATP1B2/SLC9A3/LRRC26/KCNJ10/KCNG4/KCNE4/KCNJ8/KCNJ11,29
GO:0071276,cellular response to cadmium ion,9/823,26/18860,0.34615384615384615,7.9325170576689406,7.555851833108252,8.780545227754604e-7,3.0988373626146754e-4,2.868240181898922e-4,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:0071280,cellular response to copper ion,9/823,26/18860,0.34615384615384615,7.9325170576689406,7.555851833108252,8.780545227754604e-7,3.0988373626146754e-4,2.868240181898922e-4,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:0006575,modified amino acid metabolic process,25/823,191/18860,0.13089005235602094,2.9994974330918045,5.932723415425495,9.400590049101939e-7,3.0988373626146754e-4,2.868240181898922e-4,SLC26A7/CKB/CKMT2/FOLR1/ACADL/CKM/SLC1A2/GSTA3/GSTM2/HPN/GSTA4/GGT7/DUOX1/GNMT/SULT2A1/ALDH1L2/SARDH/PLOD2/DUOXA1/ALDH1L1/SLC16A10/GSTT2/GSTT2B/GSTM3/PLA1A,25
GO:0042886,amide transport,35/823,338/18860,0.10355029585798817,2.3729751881915635,5.440692668450639,2.0969039386338507e-6,6.081553542417404e-4,5.629000233821024e-4,FGA/FGB/FGG/FOLR1/PDE8B/MYRIP/GHRL/CHRM3/RAPGEF4/GNAZ/ACVR2B/SLC13A3/OXCT1/SLC14A2/SIRT4/PRKD1/GNAI1/ABCA2/CELA2A/SIDT2/PLA2G6/ABCC8/CHGA/FFAR3/CWH43/F2/ABCC5/SLC16A10/PTPRN/TFAP2B/SLC25A47/PLTP/FOLR3/EDN1/KCNJ11,35
