ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,23/227,200/4384,0.115,2.220969162995595,4.129833159755011,2.127524788370141e-4,0.005106059492088338,0.004702949532186628,GPRC5C/SLC16A7/KCNE2/YPEL1/CKM/IGFBP2/NPHS1/CPA2/COL2A1/C5/P2RY4/RGS11/ATP4A/RYR2/CCDC106/IDUA/KLHDC8A/SGK1/ZBTB16/TFAP2B/PAX4/ARHGDIG/EDN1,23
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,23/227,200/4384,0.115,2.220969162995595,4.129833159755011,2.127524788370141e-4,0.005106059492088338,0.004702949532186628,MYBPC3/CKB/CKMT2/CKM/DMD/TPD52L1/CTF1/GADD45B/EPHB3/LAMA2/FABP3/HDAC5/PPP1R3C/EFS/PTP4A3/SORBS1/MRAS/TPM2/FST/PGAM2/GPX3/CAMK2B/SOD3,23
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,7/227,44/4384,0.1590909090909091,3.072486984381258,3.2283598458024736,0.006751879680448497,0.10803007488717595,0.09950138476450415,GHRL/TMEM8B/SLC2A4/SLC22A12/GAS1/MAL/GSTM3,7
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,17/227,200/4384,0.085,1.6415859030837006,2.170114379371914,0.02851168302716252,0.22809346421730017,0.21008608546330282,PTGER3/CKB/DHRS2/DCXR/TPD52L1/KLK11/HOMER2/SERPINA5/SCUBE2/PDCD4/SLC29A1/SGK1/CACNA2D2/PRSS23/IDH2/RET/CA12,17
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,17/227,200/4384,0.085,1.6415859030837006,2.170114379371914,0.02851168302716252,0.22809346421730017,0.21008608546330282,EGFR/CHST3/PPP1R3C/NEDD4L/GPC3/PPARGC1A/MT1E/ADM/CSRP2/MXI1/MT2A/TKTL1/RORA/GCNT2/PGAM2/TGFB3/CA12,17
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,17/227,200/4384,0.085,1.6415859030837006,2.170114379371914,0.02851168302716252,0.22809346421730017,0.21008608546330282,RAP1GAP/GABARAPL1/ANGPTL3/CYFIP2/DCXR/GSTA3/GNMT/ITIH4/PMM1/MT2A/ADH7/GCNT2/GSTT2/FBLN1/HRG/CDO1/ALDH3A1,17
HALLMARK_COAGULATION,HALLMARK_COAGULATION,12/227,138/4384,0.08695652173913043,1.679371767860563,1.894810118384828,0.052324200679295364,0.3057900016343555,0.2816486857158538,FGA/FGG/LAMP2/RGN/HPN/PRSS23/TF/F2/TIMP3/PROC/HRG/S100A1,12
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,16/227,200/4384,0.08,1.5450220264317183,1.843494582641398,0.05292936835814456,0.3057900016343555,0.2816486857158538,APLP1/CDH2/SNTB1/IGFBP2/GADD45B/LAMA2/FMOD/TPM2/PLOD2/EFEMP2/GAS1/FZD8/FBLN1/TIMP3/POSTN/DKK1,16
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,10/227,112/4384,0.08928571428571429,1.724354940213971,1.8144853555298923,0.06304604008545593,0.3057900016343555,0.2816486857158538,PXMP2/AR/ALDH1A1/GNMT/SLC29A1/CYP7B1/ABCA2/IDH2/GC/TTR,10
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,5/227,42/4384,0.11904761904761904,2.299139920285295,1.9767161721878277,0.06370625034049072,0.3057900016343555,0.2816486857158538,HDAC5/WNT6/GNAI1/FZD8/DKK1,5
