category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,19/458,76/9423,0.25,5.1435589519650655,8.19734736614637,2.2430964310771383e-9,7.065753757892986e-7,6.304281548395747e-7,115111/887/3776/9992/3773/496/1131/495/389015/3772/6522/2770/107/3784/5567/482/3766/6752/816,19
Organismal Systems,Digestive system,hsa04978,Mineral absorption,15/458,61/9423,0.2459016393442623,5.059238313408261,7.188765055102359,1.4217717634277726e-7,2.2392905273987417e-5,1.9979634780800806e-5,3163/4494/4501/4490/4499/4495/4493/115019/7018/4502/6543/4496/482/6550/55503,15
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,26/458,219/9423,0.1187214611872146,2.4426033379194827,4.8821354819395975,2.1194741312759676e-5,0.002225447837839766,0.0019856126071953802,1816/3480/887/2690/886/51738/1442/4090/3953/11069/2057/2797/4883/2770/107/5567/4093/5745/117247/10267/6752/4161/147/2981/154/269,26
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,16/458,103/9423,0.1553398058252427,3.195997795395769,5.064909595472219,3.358600749512256e-5,0.0026448980902409013,0.002359858947683611,643834/1358/1280/256076/63036/1286/3784/3769/51032/1287/6543/482/117247/6550/23436/10136,16
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,36/458,371/9423,0.09703504043126684,1.9964218034581385,4.425751714411426,5.368897720495739e-5,0.003382405563912316,0.0030178856660470787,1816/5733/2893/887/2690/886/51738/2566/1442/1131/3953/727/2892/5030/2797/3354/255061/133/6344/339403/2562/1129/2147/100169851/5745/130576/6752/83551/2561/4161/147/1906/154/1903/2556/4852,36
Metabolism,Glycan biosynthesis and metabolism,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,6/458,16/9423,0.375,7.715338427947598,6.0761916800065165,6.733286333695866e-5,0.0035349753251903296,0.0031540130720996424,2523/6482/26301/8706/53947/10690,6
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,23/458,199/9423,0.11557788944723618,2.3779267516622413,4.440400724739649,9.580632698395736e-5,0.004311284714278081,0.003846660045822048,1816/2893/6506/2566/1131/2892/5030/6530/3354/2770/255061/107/2562/1129/5567/6571/2561/147/154/60482/9152/2556/285242,23
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,14/458,103/9423,0.13592233009708737,2.796498070971298,4.143492464786374,4.3503828789282276e-4,0.017129632585779896,0.015283581956234695,886/1358/1131/6262/6522/5319/63036/6344/107/3784/51032/482/23436/10136,14
Organismal Systems,Sensory system,hsa04742,Taste transduction,12/458,86/9423,0.13953488372093023,2.870823601096781,3.9391954377970535,8.682732803500738e-4,0.030389564812252582,0.02711449893023038,5153/1131/5030/3354/6338/6340/5567/259290/6326/259285/2556/285242,12
Metabolism,Energy metabolism,hsa00910,Nitrogen metabolism,5/458,17/9423,0.29411764705882354,6.051245825841254,4.711396121178404,0.0010093600623383885,0.03179484196365924,0.02836833017308945,2752/768/762/767/771,5
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,17/458,154/9423,0.11038961038961038,2.271181874893665,3.594849831492135,0.0012842276394200599,0.03677560967430171,0.03281232341867522,3776/5523/55799/64208/11069/6262/2770/9254/107/3784/7169/5567/6543/482/147/154/816,17
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,6/458,28/9423,0.21428571428571427,4.408764815970056,4.082787759395372,0.0019265605696645808,0.048764720581282256,0.043509374754226775,2523/8706/53947/10402/2651/10690,6
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,9/458,59/9423,0.15254237288135594,3.1384427503515657,3.7241063376932004,0.0020125122779576805,0.048764720581282256,0.043509374754226775,2940/2946/2941/2686/3418/2953/653689/2947/2878,9
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,13/458,110/9423,0.11818181818181818,2.4315005954743945,3.4132823586350907,0.002540870692207393,0.054412229698539115,0.04854825506937325,8200/79875/285704/4090/93/64388/2331/7018/10468/4093/7043/3400/269,13
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,10/458,73/9423,0.136986301369863,2.8183884668301724,3.5250999453535563,0.0026422229952937364,0.054412229698539115,0.04854825506937325,2940/2946/1558/2941/131/2953/653689/2327/2947/218,10
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,11/458,86/9423,0.12790697674418605,2.6315883010053827,3.4354629628979976,0.002866576658855895,0.054412229698539115,0.04854825506937325,10242/886/1131/11069/6262/107/6833/5567/482/3767/816,11
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,12/458,99/9423,0.12121212121212122,2.4938467645891227,3.377160163069331,0.0029702184215433716,0.054412229698539115,0.04854825506937325,4607/6641/55799/1756/3908/6262/5563/9254/7169/6543/7043/1906,12
Environmental Information Processing,Signal transduction,hsa04024,cAMP signaling pathway,21/458,226/9423,0.09292035398230089,1.9117652741817057,3.1357636094807706,0.003251621819395056,0.054412229698539115,0.04854825506937325,1816/5733/2893/3776/51738/64208/11069/2892/6262/3354/2770/107/1129/5567/482/10451/6752/1906/154/816/4852,21
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,16/458,154/9423,0.1038961038961039,2.137582941076391,3.2170375654379697,0.003282007505626169,0.054412229698539115,0.04854825506937325,2243/2244/2266/3480/7423/80310/1101/1280/1956/3908/341640/256076/3913/1286/22798/1287,16
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,11/458,89/9423,0.12359550561797752,2.5428830773759876,3.3053942152179645,0.0037564305853037103,0.05916378171853344,0.052787735067162674,23710/2752/2566/5334/2770/107/2562/27165/5567/2561/2556,11
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,10/458,79/9423,0.12658227848101267,2.6043336465645903,3.23646537046753,0.0047301160601404026,0.06910411357785787,0.061656803092023565,2940/2946/2941/246181/6822/131/2953/653689/2947/218,10
