ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0000280,nuclear division,80/1146,453/18860,0.17660044150110377,2.906356306030381,10.446119485545104,3.3597241818828828e-18,1.6495315842839596e-14,1.2734744241824658e-14,KIF18A/KIF2A/AURKA/RAD51AP1/CHEK2/FANCD2/TRIP13/ZWILCH/RAD54L/CDC25B/SKA1/ESPL1/MAD2L1/CDCA8/EDN3/KIF22/KIF4A/CDCA2/ANLN/CENPK/MYBL2/SPAG5/RAD51/SPC25/CKS2/BUB1/SKA3/NCAPG/CENPI/CHEK1/NUF2/TEX11/BIRC5/NEK2/KIF23/UBE2S/FANCA/CCNB1/TOP2A/CDC20/FIGNL1/CENPE/KIF20B/PSRC1/INCENP/NCAPG2/BORA/MND1/TPX2/DLGAP5/CCNB2/BUB1B/PTTG1/RACGAP1/LIF/PRC1/ASPM/KIF11/KIF14/CENPF/MSX2/KIFC1/ZWINT/KIF15/SPC24/BRCA2/RCC1/GEN1/FBXO5/CCNE2/UBE2C/HOXA13/MKI67/BRIP1/NUSAP1/UHRF1/MSX1/CDT1/EREG/TNF,80
GO:0140014,mitotic nuclear division,60/1146,281/18860,0.21352313167259787,3.5140019749958076,10.79943229357956,6.180335647373397e-18,1.6495315842839596e-14,1.2734744241824658e-14,KIF18A/KIF2A/AURKA/CHEK2/TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/EDN3/KIF22/KIF4A/CDCA2/ANLN/CENPK/MYBL2/SPAG5/SPC25/BUB1/SKA3/NCAPG/CENPI/CHEK1/NUF2/BIRC5/NEK2/KIF23/UBE2S/CCNB1/CDC20/CENPE/KIF20B/PSRC1/INCENP/NCAPG2/BORA/TPX2/DLGAP5/BUB1B/RACGAP1/PRC1/KIF11/KIF14/CENPF/KIFC1/ZWINT/KIF15/SPC24/RCC1/GEN1/FBXO5/UBE2C/HOXA13/MKI67/NUSAP1/UHRF1/CDT1/EREG/TNF,60
GO:0000070,mitotic sister chromatid segregation,48/1146,192/18860,0.25,4.114310645724259,11.032068949247664,1.7022589290732972e-17,3.02888605446442e-14,2.338366213095424e-14,KIF18A/KIF2A/CHEK2/TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/KIF22/KIF4A/CENPK/MYBL2/SPAG5/SPC25/BUB1/SKA3/NCAPG/CENPI/NUF2/BIRC5/NEK2/KIF23/CCNB1/CDC20/CENPE/PSRC1/INCENP/NCAPG2/TPX2/DLGAP5/BUB1B/RACGAP1/PRC1/KIF11/KIF14/CENPF/KIFC1/ZWINT/KIF15/SPC24/RCC1/GEN1/FBXO5/UBE2C/NUSAP1/UHRF1/CDT1,48
GO:0007059,chromosome segregation,75/1146,434/18860,0.1728110599078341,2.8439935339107776,9.88512223742246,1.3584038338184038e-16,1.8127899162306597e-13,1.3995134235260658e-13,GPSM2/KIF18A/KIF2A/AURKA/ECT2/FAM83D/CHEK2/FANCD2/TRIP13/ZWILCH/ESCO2/SKA1/ESPL1/MAD2L1/CDCA8/KIF22/KIF4A/CDCA2/CENPK/MYBL2/SPAG5/CENPW/SPC25/BUB1/SKA3/NCAPG/CENPI/NUF2/TEX11/STIL/TACC3/BIRC5/NEK2/KIF23/CCNB1/OIP5/TOP2A/CDC20/CENPO/CENPE/PSRC1/INCENP/NCAPG2/CENPM/BRCA1/MND1/TPX2/DLGAP5/CCNB2/BUB1B/CENPL/PTTG1/RACGAP1/PRC1/ASPM/CDC6/KIF11/KIF14/DIAPH3/CENPF/KIFC1/ZWINT/KIF15/SPC24/HJURP/RCC1/GEN1/FBXO5/CCNE2/UBE2C/MKI67/BRIP1/NUSAP1/UHRF1/CDT1,75
GO:0098813,nuclear chromosome segregation,62/1146,323/18860,0.19195046439628483,3.1589753564693996,9.954570810184032,3.964827274844444e-16,4.232849598623928e-13,3.2678523749507366e-13,KIF18A/KIF2A/AURKA/ECT2/FAM83D/CHEK2/FANCD2/TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/KIF22/KIF4A/CENPK/MYBL2/SPAG5/SPC25/BUB1/SKA3/NCAPG/CENPI/NUF2/TEX11/TACC3/BIRC5/NEK2/KIF23/CCNB1/TOP2A/CDC20/CENPE/PSRC1/INCENP/NCAPG2/MND1/TPX2/DLGAP5/CCNB2/BUB1B/PTTG1/RACGAP1/PRC1/ASPM/CDC6/KIF11/KIF14/CENPF/KIFC1/ZWINT/KIF15/SPC24/RCC1/GEN1/FBXO5/CCNE2/UBE2C/BRIP1/NUSAP1/UHRF1/CDT1,62
GO:0000819,sister chromatid segregation,51/1146,233/18860,0.21888412017167383,3.602229063209222,10.165888572937085,6.62673097822294e-16,5.895581660292342e-13,4.55151785609523e-13,KIF18A/KIF2A/CHEK2/TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/KIF22/KIF4A/CENPK/MYBL2/SPAG5/SPC25/BUB1/SKA3/NCAPG/CENPI/NUF2/TACC3/BIRC5/NEK2/KIF23/CCNB1/TOP2A/CDC20/CENPE/PSRC1/INCENP/NCAPG2/TPX2/DLGAP5/BUB1B/RACGAP1/PRC1/CDC6/KIF11/KIF14/CENPF/KIFC1/ZWINT/KIF15/SPC24/RCC1/GEN1/FBXO5/UBE2C/NUSAP1/UHRF1/CDT1,51
GO:0007088,regulation of mitotic nuclear division,35/1146,119/18860,0.29411764705882354,4.840365465557951,10.689145160654189,1.8594980490755026e-15,1.4180000837092904e-12,1.0947270469369312e-12,AURKA/TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/EDN3/CDCA2/SPC25/BUB1/SKA3/CHEK1/NUF2/BIRC5/NEK2/CCNB1/CDC20/KIF20B/INCENP/BORA/DLGAP5/BUB1B/CENPF/ZWINT/SPC24/RCC1/GEN1/FBXO5/UBE2C/HOXA13/MKI67/NUSAP1/EREG/TNF,35
GO:0051783,regulation of nuclear division,39/1146,147/18860,0.2653061224489796,4.3662072158706415,10.42128142479766,2.1350882707905586e-15,1.4246376486850003e-12,1.099851392124347e-12,AURKA/RAD51AP1/TRIP13/ZWILCH/SKA1/ESPL1/MAD2L1/CDCA8/EDN3/CDCA2/SPC25/BUB1/SKA3/CHEK1/NUF2/BIRC5/NEK2/CCNB1/CDC20/KIF20B/INCENP/BORA/DLGAP5/BUB1B/LIF/CENPF/MSX2/ZWINT/SPC24/RCC1/GEN1/FBXO5/UBE2C/HOXA13/MKI67/NUSAP1/MSX1/EREG/TNF,39
GO:0090068,positive regulation of cell cycle process,53/1146,278/18860,0.1906474820143885,3.1375318593292905,9.132340282494347,7.553290638429382e-14,4.4799406031040046e-11,3.4586120291755594e-11,GPSM2/AURKA/PLK4/ECT2/RAD51AP1/ANXA1/FAM83D/CHEK2/CDC25B/SKA1/ESPL1/RRM2/MAD2L1/CDCA8/EDN3/CDC25A/PKP3/SPAG5/BUB1/SKA3/NCAPG/EZH2/CHEK1/STIL/BIRC5/KIF23/SVIL/CCNB1/FEN1/CDC20/KIF20B/POC1A/INCENP/NCAPG2/DLGAP5/RACGAP1/CDC6/KIF14/MSX2/GEN1/FBXO5/CCNE2/UBE2C/HOXA13/CCND2/NUSAP1/E2F7/ATAD5/DTL/MSX1/EREG/TNF/LEF1,53
GO:0050900,leukocyte migration,65/1146,397/18860,0.163727959697733,2.6945107503483805,8.679241361981473,2.0822587478892016e-13,1.1115097196232557e-10,8.581097892617078e-11,CXCL16/LYN/WDR1/CD9/TNFRSF11A/ANXA1/S100A14/CKLF/EXT1/LGALS3/EDN3/MYD88/RIPK3/NEDD9/HMOX1/MCU/TRPM2/BST1/ECM1/F2RL1/CXCL3/FUT4/SAA1/GP2/FFAR2/MDK/CCR6/PADI2/ITGA2/PLA2G7/ASCL2/DPP4/S100A9/CXCR2/CCL20/PYCARD/CXCL10/HCK/S100A12/C5AR1/CXCL5/FPR2/BDKRB1/ADAM8/TNFRSF18/RIN3/NCKAP1L/CCR1/S100A8/SELL/FAM3D/CCL13/TNF/SLAMF8/CCL26/TREM2/PF4/SELP/TNFAIP6/ICAM1/CCL3/CCL25/CXCL11/SCG2/CXCL9,65
