ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,59/485,200/4384,0.295,2.666556701030928,8.507838574638695,2.0420697557867528e-13,9.801934827776413e-12,6.663596045198878e-12,HMGA1/AURKA/PLK4/CCNF/CCNA2/HMGB3/RAD54L/CDC25B/ESPL1/MAD2L1/CDKN3/E2F2/CENPA/CDC25A/KIF22/PBK/ORC6/KIF4A/MYBL2/POLQ/CKS2/BUB1/EZH2/CHEK1/HUS1/CDC45/STIL/TACC3/BIRC5/NEK2/KIF23/UBE2S/RASAL2/TOP2A/CDC20/GINS2/CENPE/KPNA2/KIF20B/INCENP/TPX2/CCNB2/PTTG1/RACGAP1/PRC1/CDC6/KIF11/POLA2/CENPF/KIF15/SQLE/BRCA2/FBXO5/UBE2C/MKI67/E2F1/NUSAP1/MEIS2/PML,59
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,58/485,200/4384,0.29,2.621360824742268,8.277111819608162,7.538721095540934e-13,1.809293062929824e-11,1.2300018629566789e-11,HMGA1/MELK/CDCA3/AURKA/PLK4/GINS4/RAD51AP1/CHEK2/TRIP13/HMGB3/CDC25B/ESPL1/RRM2/MAD2L1/CDCA8/CDKN3/CDC25A/KIF22/ORC6/KIF4A/MYBL2/SPAG5/SPC25/CKS2/GINS1/EZH2/CHEK1/HUS1/TACC3/BIRC5/UBE2S/ANP32E/LYAR/TOP2A/CDC20/CENPE/KPNA2/UBE2T/CENPM/BRCA1/DLGAP5/CCNB2/BUB1B/DSCC1/PTTG1/MCM4/RACGAP1/CDKN1A/POLA2/DIAPH3/SPC24/BRCA2/TK1/RFC3/MKI67/DCLRE1B/TFRC/HELLS,58
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,51/485,200/4384,0.255,2.3049896907216496,6.662024534394422,3.33192016680671e-9,5.331072266890736e-8,3.6241938656494045e-8,UPP1/PARP12/GCH1/OAS3/TRIM14/FAS/PFKP/USP18/MYD88/NOD1/PSMB8/IFI35/CASP1/PLA2G4A/SOCS3/LY6E/TAP1/HERC6/EPSTI1/CDKN1A/ISG15/PARP14/IFIT3/OAS2/IRF1/BANK1/CD274/JAK2/NLRC5/ZBP1/STAT1/RSAD2/IFIT2/IFIT1/PML/CXCL10/PSMB9/DDX60/MX1/BST2/FGL2/HLA-DRB1/IDO1/FPR1/SELP/TNFAIP6/ICAM1/CD38/IL4R/CXCL11/CXCL9,51
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,31/485,97/4384,0.31958762886597936,2.8888085875225844,6.634024346446283,1.7794394782860865e-8,2.1353273739433037e-7,1.4516479954439128e-7,CCRL2/PARP12/TRIM14/OAS1/USP18/PSMB8/PARP9/SAMD9/IFI35/MOV10/CASP1/LY6E/TAP1/HERC6/EPSTI1/LAMP3/ISG15/PARP14/IFIT3/IRF1/RSAD2/IFIT2/CXCL10/PSMB9/DDX60/MX1/PROCR/BST2/SELL/IL4R/CXCL11,31
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,47/485,200/4384,0.235,2.1242061855670102,5.739117514272285,2.1916035779827734e-7,1.7532828623862187e-6,1.1919247529379998e-6,IRAK2/ADORA2B/CD55/CCRL2/LYN/PTAFR/GCH1/TNFRSF1B/IL18/TIMP1/F3/KIF1B/LDLR/LY6E/LIF/CDKN1A/LAMP3/PLAUR/PTPRE/FFAR2/MXD1/IRF1/TNFSF9/ITGB8/MEP1A/GNA15/CCL20/CXCL10/AQP9/NOD2/P2RY2/C5AR1/TLR1/BDKRB1/TNFRSF9/EREG/BST2/PDPN/SELL/FPR1/RGS1/TNFAIP6/ICAM1/IL4R/CXCL11/INHBA/CXCL9,47
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,47/485,200/4384,0.235,2.1242061855670102,5.739117514272285,2.1916035779827734e-7,1.7532828623862187e-6,1.1919247529379998e-6,CCRL2/ETS2/GCH1/PHLDA2/IL18/MAP2K3/IER5/F3/AREG/SERPINB8/TUBB2A/MAP3K8/SPSB1/MAFF/LDLR/SOCS3/STAT5A/TAP1/F2RL1/CXCL3/LIF/CDKN1A/FUT4/PLAUR/KYNU/PTPRE/CXCL1/CLCF1/MXD1/IRF1/TNFSF9/BHLHE40/DUSP5/IFIT2/KDM6B/CCL20/CXCL10/CXCL2/BCL2A1/TNFRSF9/CSF2/TNF/TNFAIP6/ICAM1/CXCL11/INHBA/PLEK,47
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,43/485,200/4384,0.215,1.943422680412371,4.816210494150147,9.038019775468827e-6,6.197499274607195e-5,4.213212226158401e-5,TRIM29/ST14/SCARB1/SLC27A2/KRT19/CD9/ITPK1/NMU/PLK4/LAMC2/SFN/PKP3/AREG/MICB/TFF3/GAL/MYOF/STIL/TFAP2C/MEST/KIF20A/TOP2A/CDC20/GINS2/PAPSS2/CDC6/MYB/ACOX2/MDK/DNAJC12/BATF/JAK2/SULT2B1/S100A9/GJB3/ASS1/HSPA4L/PDZK1/TMPRSS3/TFPI2/ELOVL5/ANXA9/SERPINA3,43
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,24/485,87/4384,0.27586206896551724,2.493565588339851,4.962279650960547,1.3631891853940358e-5,8.179135112364216e-5,5.560376940423042e-5,BAK1/TNFRSF1B/CD9/FAS/TNFRSF12A/MYD88/MAP3K8/HMOX1/SOCS3/CXCL3/CXCL1/IL2RG/PLA2G2A/IRF1/STAT1/CXCL10/CSF2/CCR1/TNF/PF4/CD38/IL4R/CXCL11/CXCL9,24
HALLMARK_COAGULATION,HALLMARK_COAGULATION,29/485,138/4384,0.21014492753623187,1.8995368295233825,3.786591752065435,4.070172113274925e-4,0.002170758460413293,0.0014757349182634234,F12/WDR1/CD9/RABIF/PREP/CFI/ANXA1/TIMP1/GDA/F3/BMP1/MAFF/LRP1/ACOX2/ITGA2/C2/MEP1A/APOC2/DPP4/KLK8/F2RL2/HNF4A/MMP3/TFPI2/APOC3/C8G/MMP7/PF4/PLEK,29
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,38/485,200/4384,0.19,1.7174432989690722,3.6625767189974767,4.739345399652156e-4,0.002274885791833035,0.001546523235675967,CD55/LYN/PCSK9/XPNPEP1/RABIF/KIF2A/PREP/TIMP1/PRSS3/LGALS3/F3/MMP12/DGKG/CASP1/CTSS/MAFF/LRP1/PLA2G4A/CTSC/PLAUR/KYNU/CXCL1/IRF1/C2/PLA2G7/JAK2/GZMB/DUSP5/DPP4/S100A9/KLK1/HNF4A/PSMB9/TFPI2/S100A12/APOA4/FCN1/PLEK,38
