category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,17/652,44/9423,0.38636363636363635,5.583902677077524,8.309105074803304,1.8246912695222723e-9,3.7750925367022995e-7,3.1222569852425034e-7,949/50487/10999/10555/29881/346606/5320/64240/2168/64241/80168/4547/8694/2169/337/338/84647,17
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,26/652,100/9423,0.26,3.757638036809816,7.55840590655178,2.247078890894226e-9,3.7750925367022995e-7,3.1222569852425034e-7,6359/7133/3606/58985/53833/6362/2921/2919/3561/1235/3579/6364/3627/2920/414062/6374/1230/6357/7124/10344/5196/6348/6370/6373/8794/4283,26
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,46/652,298/9423,0.15436241610738255,2.230915716226788,5.886956199288273,1.80253795062772e-7,2.0188425047030464e-5,1.6697193647919934e-5,6359/58191/7133/9235/8792/3606/355/51330/58985/4982/10913/53833/3557/6362/2921/3976/3598/10673/2919/3561/23529/1235/8744/8771/3579/6364/3627/2920/414062/6374/27189/3604/1437/8784/1230/6357/7124/10344/5196/6348/6370/3566/6373/8794/3624/4283,46
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,36/652,217/9423,0.16589861751152074,2.3976421362132823,5.678859961370976,6.989454393248926e-7,5.3058863416045446e-5,4.3883270494473676e-5,9075/1364/6768/6281/140576/3880/1366/57402/10999/3918/9076/11187/3866/3875/144501/3854/1308/9069/3855/1365/137075/11240/26154/24146/6280/6274/3861/286887/6283/3872/1830/3853/3868/1041/6279/54474,36
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,29/652,156/9423,0.1858974358974359,2.686674138744691,5.791548479494337,7.895664198816286e-7,5.3058863416045446e-5,4.3883270494473676e-5,9075/1364/949/578/4940/1366/355/4938/9076/7187/1870/317/3949/9069/9021/1026/1365/137075/4939/1869/9641/24146/6772/91543/3434/3627/4599/8503/7124,29
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,29/652,158/9423,0.18354430379746836,2.6526656053428597,5.7116503419980535,1.039001783405631e-6,5.818409987071534e-5,4.812218786299765e-5,11200/9319/890/157570/994/9700/4085/2810/1870/993/23594/699/1111/8318/4998/891/991/6502/9133/701/9232/4173/990/1026/26271/9134/1869/894/81620,29
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,21/652,99/9423,0.21212121212121213,3.0656720580033467,5.633115190266128,3.021608611263213e-6,1.450372133406342e-4,1.1995558998097567e-4,5724/3880/3426/3866/3875/717/3861/728/2358/3872/9103/2214/3868/3123/2357/6403/3383/3126/1668/54474/3125,21
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,23/652,119/9423,0.19327731092436976,2.7933314430066507,5.367474443905799,5.525760649915742e-6,2.3208194729646117e-4,1.9194747520759946e-4,7133/355/5606/64285/7187/11035/1326/9021/2921/3976/2919/84699/3659/6364/3627/2920/4314/64127/6374/1437/8503/7124/3383,23
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,29/652,173/9423,0.1676300578034682,2.422665697365155,5.149034925750607,6.873353764737452e-6,2.566052072168649e-4,2.1222987063048977e-4,578/4940/3606/355/4938/56649/5646/7187/4615/317/834/3838/9021/5645/4939/3717/9641/6772/91543/29108/5371/3627/4599/8503/3123/7124/3383/3126/3125,29
Genetic Information Processing,Information processing in viruses,hsa03272,Virion - Hepatitis viruses,13/652,48/9423,0.2708333333333333,3.9142062883435584,5.518563749225768,1.4870113043587227e-5,4.996357982645309e-4,4.1323261510600295e-4,9075/1364/949/928/1366/4072/9076/3949/9069/1365/137075/24146/1803,13
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,11/652,37/9423,0.2972972972972973,4.296675509865694,5.477817779285904,2.595447421150597e-5,7.927912122787278e-4,6.55691980080151e-4,3606/355/4615/5331/2150/7064/8542/3250/7124/3620/3383,11
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,30/652,205/9423,0.14634146341463414,2.1149932664970823,4.400495848537933,7.087900030389232e-5,0.001984612008508985,0.001641408428090138,965/578/4067/4940/355/4938/5606/890/7187/1870/4615/317/6502/6890/1026/9636/4939/9134/1869/894/9641/6772/3627/956/8503/3123/7124/3383/3126/3125,30
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,31/652,216/9423,0.14351851851851852,2.074194785276074,4.354332971654879,7.841517966339995e-5,0.0020267307974540295,0.0016762435166913028,91860/4067/818/3606/355/805/5606/7187/4615/5331/317/834/3949/2921/1535/2919/3717/9641/1573/4688/29108/2920/4314/414062/8503/7124/337/6403/3383/6348/338,31
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,28/652,193/9423,0.14507772020725387,2.0967290759401123,4.197086826806564,1.4269042554761673e-4,0.0034245702131428016,0.0028323513041030694,6359/58191/4067/5331/6362/2921/113/2919/1235/3717/6772/3579/6364/3627/2920/3055/414062/6374/8503/1230/6357/10344/5196/6348/6370/6373/2268/4283,28
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,12/652,52/9423,0.23076923076923078,3.3351816894761677,4.603627459021867,1.7213451646960924e-4,0.0036532171619003523,0.0030214578030754798,949/255738/9388/4035/3949/64240/27141/344/64241/345/337/338,12
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,9/652,31/9423,0.2903225806451613,4.195873738373244,4.859171308935962,1.7396272199525487e-4,0.0036532171619003523,0.0030214578030754798,50487/5321/255189/5320/1573/151056/1576/283748/84647,9
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,27/652,187/9423,0.1443850267379679,2.086717955447656,4.092290696101458,2.0229255648534483e-4,0.003985607467112776,0.0032963670780631984,4940/3606/260434/4938/7187/4615/11035/5331/10392/2633/834/90550/7226/2635/2921/1535/2919/4939/9641/118429/6772/29108/2920/64127/64170/7124/1668,27
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,17/652,94/9423,0.18085106382978725,2.6137416786320324,4.286977344468545,2.1351468573818443e-4,0.003985607467112776,0.0032963670780631984,5597/7187/2921/2919/9641/6280/6364/3627/2920/4314/6374/3934/27189/1437/6279/7124/727897,17
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,17/652,95/9423,0.17894736842105263,2.5862286083306425,4.236469699541695,2.4369988477562473e-4,0.004309640067611048,0.0035643639656933483,8792/3606/2921/10673/2919/6364/2920/4314/414062/6374/1437/3123/7124/3383/6348/3126/3125,17
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,30/652,224/9423,0.13392857142857142,1.9355965162138473,3.8637862092189756,3.518572708524894e-4,0.005911202150321822,0.004888964184476695,2114/11200/890/9700/4085/1870/1111/991/6776/9133/701/9232/1026/113/4488/3561/84699/9134/6722/1869/894/4487/1437/8503/4316/3123/7124/3383/3126/3125,30
