ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0010273,detoxification of copper ion,9/828,16/18860,0.5625,12.8125,10.129028995662903,5.0301968765146385e-9,9.552171427666293e-6,8.848675590261406e-6,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:1990169,stress response to copper ion,9/828,16/18860,0.5625,12.8125,10.129028995662903,5.0301968765146385e-9,9.552171427666293e-6,8.848675590261406e-6,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:0098659,inorganic cation import across plasma membrane,24/828,139/18860,0.17266187050359713,3.9328537170263793,7.4367953390857515,8.27386004994915e-9,9.552171427666293e-6,8.848675590261406e-6,KCNE2/KCNJ16/ATP4B/KCNJ18/SLC5A2/ATP4A/KCNJ12/SLC9A4/KCNJ15/NEDD4L/PPP3CC/SLC9A7/SCNN1B/KCNQ1/ABCC8/SCNN1G/KCNJ13/SLC8A2/ATP1B2/SLC9A3/KCNJ10/TRPV6/KCNJ8/KCNJ11,24
GO:0099587,inorganic ion import across plasma membrane,24/828,139/18860,0.17266187050359713,3.9328537170263793,7.4367953390857515,8.27386004994915e-9,9.552171427666293e-6,8.848675590261406e-6,KCNE2/KCNJ16/ATP4B/KCNJ18/SLC5A2/ATP4A/KCNJ12/SLC9A4/KCNJ15/NEDD4L/PPP3CC/SLC9A7/SCNN1B/KCNQ1/ABCC8/SCNN1G/KCNJ13/SLC8A2/ATP1B2/SLC9A3/KCNJ10/TRPV6/KCNJ8/KCNJ11,24
GO:0001696,gastric acid secretion,8/828,14/18860,0.5714285714285714,13.015873015873016,9.637453681224066,3.167750043600036e-8,2.395249520327084e-5,2.2188448065029908e-5,SLC26A7/PTGER3/CCKBR/GHRL/HIP1R/SLC9A4/SGK1/KCNQ1,8
GO:1990573,potassium ion import across plasma membrane,14/828,52/18860,0.2692307692307692,6.132478632478632,7.941637563211197,3.3075847767692614e-8,2.395249520327084e-5,2.2188448065029908e-5,KCNE2/KCNJ16/ATP4B/KCNJ18/ATP4A/KCNJ12/KCNJ15/KCNQ1/ABCC8/KCNJ13/ATP1B2/KCNJ10/KCNJ8/KCNJ11,14
GO:0071805,potassium ion transmembrane transport,29/828,208/18860,0.13942307692307693,3.1757478632478633,6.761298022644823,3.630737687806321e-8,2.395249520327084e-5,2.2188448065029908e-5,KCNK2/KCNE2/KCNJ16/KCNMB2/FXYD4/KCNIP3/ATP4B/KCNJ18/HPN/ATP4A/KCNJ12/SLC9A4/KCNJ15/NEDD4L/SLC9A7/KCNQ1/ABCC8/NALCN/KCNJ13/KCNIP4/LRRC52/ATP1B2/SLC9A3/LRRC26/KCNJ10/KCNG4/KCNE4/KCNJ8/KCNJ11,29
GO:0071294,cellular response to zinc ion,10/828,25/18860,0.4,9.11111111111111,8.696011232398504,4.518325029843618e-8,2.6082031234772285e-5,2.4161148580637453e-5,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/GABRB3/MT2A/MT1H,10
GO:0097501,stress response to metal ion,9/828,21/18860,0.42857142857142855,9.761904761904761,8.60858559249618,1.0594683163088104e-7,5.436249649682318e-5,5.0358821490982526e-5,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
GO:0061687,detoxification of inorganic compound,9/828,23/18860,0.391304347826087,8.91304347826087,8.136809537969834,2.7207543433391293e-7,1.25644435575401e-4,1.1639100685610759e-4,MT1F/MT1X/MT1B/MT1M/MT1G/MT3/MT1E/MT2A/MT1H,9
