category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,19/461,76/9423,0.25,5.110086767895878,8.159080311520754,2.5002985720613707e-9,7.875940501993317e-7,7.027154934109326e-7,115111/887/3776/9992/3773/496/1131/495/389015/3772/6522/2770/107/3784/5567/482/3766/6752/816,19
Organismal Systems,Digestive system,hsa04978,Mineral absorption,16/461,61/9423,0.26229508196721313,5.361402510579283,7.750439155490027,2.1971759059486296e-8,3.4605520518690916e-6,3.0876103520436008e-6,3163/4494/4501/4490/4499/4495/4493/115019/7018/4502/6543/4496/482/6550/55503/9843,16
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,27/461,219/9423,0.1232876712328767,2.5200427896472823,5.161894319637307,8.232883662307015e-6,7.186408559598763e-4,6.411933451672079e-4,1816/3480/887/2690/886/51738/1442/4090/3953/11069/2057/2797/4883/2770/107/5567/4093/5745/117247/10267/6752/4161/147/2981/154/269/9843,27
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,17/461,103/9423,0.1650485436893204,3.373649516669124,5.493470443783,9.125598170919064e-6,7.186408559598763e-4,6.411933451672079e-4,643834/1358/1280/256076/63036/1286/3784/3769/51032/1287/6543/482/117247/6550/23436/10136/5644,17
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,37/461,371/9423,0.09973045822102426,2.0385251796457955,4.628617102834791,2.6801715775363645e-5,0.0016885080938479097,0.0015065385498993882,1816/5733/2893/887/2690/886/51738/2566/1442/1131/3953/727/2892/5030/2797/3354/255061/133/6344/339403/2562/1129/2147/100169851/5745/130576/6752/83551/2561/4161/147/1906/154/1903/2556/4852/5644,37
Metabolism,Glycan biosynthesis and metabolism,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,6/461,16/9423,0.375,7.665130151843818,6.051493854651398,6.984034085934092e-5,0.0036666178951153985,0.003271468598148075,2523/6482/26301/8706/53947/10690,6
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,23/461,199/9423,0.11557788944723618,2.3624521741026174,4.405626747536421,1.0569552417717145e-4,0.004756298587972715,0.004243715030872899,1816/2893/6506/2566/1131/2892/5030/6530/3354/2770/255061/107/2562/1129/5567/6571/2561/147/154/60482/9152/2556/285242,23
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,15/461,103/9423,0.14563106796116504,2.9767495735315794,4.574902604911452,1.3487685090832527e-4,0.005310776004515308,0.00473843673585827,886/1358/1131/6262/6522/5319/63036/6344/107/3784/51032/482/23436/10136/5644,15
Organismal Systems,Sensory system,hsa04742,Taste transduction,12/461,86/9423,0.13953488372093023,2.8521414518488624,3.9132648380913486,9.19236534699374e-4,0.03217327871447809,0.028705983013419048,5153/1131/5030/3354/6338/6340/5567/259290/6326/259285/2556/285242,12
Metabolism,Energy metabolism,hsa00910,Nitrogen metabolism,5/461,17/9423,0.29411764705882354,6.0118667857598576,4.690736478781766,0.0010395945641937738,0.03274722877210387,0.02921807880418291,2752/768/762/767/771,5
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,17/461,154/9423,0.11038961038961038,2.2564019494605176,3.5652670362123424,0.0013783655229051128,0.03947137633773732,0.035217568862743076,3776/5523/55799/64208/11069/6262/2770/9254/107/3784/7169/5567/6543/482/147/154/816,17
Metabolism,Glycan biosynthesis and metabolism,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,6/461,28/9423,0.21428571428571427,4.380074372482182,4.062341435225051,0.0019916942749747053,0.05099242748927459,0.0454970029728866,2523/8706/53947/10402/2651/10690,6
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,9/461,59/9423,0.15254237288135594,3.1180190448178244,3.7012183533204053,0.002104449388446253,0.05099242748927459,0.0454970029728866,2940/2946/2941/2686/3418/2953/653689/2947/2878,9
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,13/461,110/9423,0.11818181818181818,2.4156773811871424,3.387157388817787,0.0026892909488906,0.05804769708396573,0.05179193023030526,8200/79875/285704/4090/93/64388/2331/7018/10468/4093/7043/3400/269,13
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,10/461,73/9423,0.136986301369863,2.800047544052536,3.501540416963974,0.0027704062198532406,0.05804769708396573,0.05179193023030526,2940/2946/1558/2941/131/2953/653689/2327/2947/218,10
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,11/461,86/9423,0.12790697674418605,2.614462997528124,3.4110900516371094,0.003014550807829248,0.05804769708396573,0.05179193023030526,10242/886/1131/11069/6262/107/6833/5567/482/3767/816,11
Human Diseases,Cardiovascular disease,hsa05410,Hypertrophic cardiomyopathy,12/461,99/9423,0.12121212121212122,2.4776178268586078,3.351954615548601,0.0031327328584997375,0.05804769708396573,0.05179193023030526,4607/6641/55799/1756/3908/6262/5563/9254/7169/6543/7043/1906,12
