ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,59/492,200/4384,0.295,2.6286178861788616,8.381470695430336,3.9059594948174813e-13,1.874860557512391e-11,1.2745762562035993e-11,HMGA1/AURKA/PLK4/CCNF/CCNA2/HMGB3/RAD54L/CDC25B/ESPL1/MAD2L1/CDKN3/E2F2/CENPA/CDC25A/KIF22/PBK/ORC6/KIF4A/MYBL2/POLQ/CKS2/BUB1/EZH2/CHEK1/HUS1/CDC45/STIL/TACC3/BIRC5/NEK2/KIF23/UBE2S/RASAL2/TOP2A/CDC20/GINS2/CENPE/KPNA2/KIF20B/INCENP/TPX2/CCNB2/PTTG1/RACGAP1/PRC1/CDC6/KIF11/POLA2/CENPF/KIF15/SQLE/BRCA2/FBXO5/UBE2C/MKI67/E2F1/NUSAP1/MEIS2/PML,59
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,58/492,200/4384,0.29,2.5840650406504064,8.152185255080104,1.4163750030409066e-12,3.399300007298176e-11,2.310927636540427e-11,HMGA1/MELK/CDCA3/AURKA/PLK4/GINS4/RAD51AP1/CHEK2/TRIP13/HMGB3/CDC25B/ESPL1/RRM2/MAD2L1/CDCA8/CDKN3/CDC25A/KIF22/ORC6/KIF4A/MYBL2/SPAG5/SPC25/CKS2/GINS1/EZH2/CHEK1/HUS1/TACC3/BIRC5/UBE2S/ANP32E/LYAR/TOP2A/CDC20/CENPE/KPNA2/UBE2T/CENPM/BRCA1/DLGAP5/CCNB2/BUB1B/DSCC1/PTTG1/MCM4/RACGAP1/CDKN1A/POLA2/DIAPH3/SPC24/BRCA2/TK1/RFC3/MKI67/DCLRE1B/TFRC/HELLS,58
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,53/492,200/4384,0.265,2.36130081300813,7.005758053328949,5.964350203723068e-10,9.542960325956908e-9,6.487538818084742e-9,UPP1/PARP12/GCH1/OAS3/TRIM14/FAS/PFKP/USP18/MYD88/NOD1/PSMB8/IFI35/CASP1/PLA2G4A/SOCS3/LY6E/TAP1/HERC6/EPSTI1/CDKN1A/ISG15/PARP14/IFIT3/OAS2/IRF1/BANK1/CD274/JAK2/NLRC5/ZBP1/STAT1/RSAD2/IFIT2/IFIT1/PML/CXCL10/PSMB9/DDX60/MX1/BST2/FGL2/HLA-DRB1/IDO1/FPR1/SELP/TNFAIP6/ICAM1/CD38/IL4R/CXCL11/CXCL9/IFI44L/IRF4,53
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,32/492,97/4384,0.32989690721649484,2.9395691895063276,6.867462125278075,6.145501335026482e-9,7.374601602031779e-8,5.013435299626868e-8,CCRL2/PARP12/TRIM14/OAS1/USP18/PSMB8/PARP9/SAMD9/IFI35/MOV10/CASP1/LY6E/TAP1/HERC6/EPSTI1/LAMP3/ISG15/PARP14/IFIT3/IRF1/RSAD2/IFIT2/CXCL10/PSMB9/DDX60/MX1/PROCR/BST2/SELL/IL4R/CXCL11/IFI44L,32
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,48/492,200/4384,0.24,2.1385365853658533,5.859330851577796,1.265489962591433e-7,1.0123919700731463e-6,6.88248927023411e-7,IRAK2/ADORA2B/CD55/CCRL2/LYN/PTAFR/GCH1/TNFRSF1B/IL18/TIMP1/F3/KIF1B/LDLR/LY6E/LIF/CDKN1A/LAMP3/PLAUR/PTPRE/FFAR2/MXD1/IRF1/TNFSF9/ITGB8/MEP1A/GNA15/CCL20/CXCL10/AQP9/NOD2/P2RY2/C5AR1/TLR1/BDKRB1/TNFRSF9/EREG/BST2/PDPN/SELL/FPR1/RGS1/TNFAIP6/ICAM1/IL4R/CXCL11/INHBA/CXCL9/PROK2,48
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,48/492,200/4384,0.24,2.1385365853658533,5.859330851577796,1.265489962591433e-7,1.0123919700731463e-6,6.88248927023411e-7,CCRL2/ETS2/GCH1/PHLDA2/IL18/MAP2K3/IER5/F3/AREG/SERPINB8/TUBB2A/MAP3K8/SPSB1/MAFF/LDLR/SOCS3/STAT5A/TAP1/F2RL1/CXCL3/LIF/CDKN1A/FUT4/PLAUR/KYNU/PTPRE/CXCL1/CLCF1/MXD1/IRF1/TNFSF9/BHLHE40/DUSP5/IFIT2/KDM6B/CCL20/CXCL10/CXCL2/BCL2A1/TNFRSF9/CSF2/TNF/TNFAIP6/ICAM1/CXCL11/INHBA/PLEK/FOSB,48
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,43/492,200/4384,0.215,1.9157723577235772,4.712903649826642,1.3065523338290422e-5,8.959216003399146e-5,6.0906950900301224e-5,TRIM29/ST14/SCARB1/SLC27A2/KRT19/CD9/ITPK1/NMU/PLK4/LAMC2/SFN/PKP3/AREG/MICB/TFF3/GAL/MYOF/STIL/TFAP2C/MEST/KIF20A/TOP2A/CDC20/GINS2/PAPSS2/CDC6/MYB/ACOX2/MDK/DNAJC12/BATF/JAK2/SULT2B1/S100A9/GJB3/ASS1/HSPA4L/PDZK1/TMPRSS3/TFPI2/ELOVL5/ANXA9/SERPINA3,43
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,24/492,87/4384,0.27586206896551724,2.458088029156154,4.883627884673877,1.7418876096384107e-5,1.0451325657830464e-4,7.105067881419834e-5,BAK1/TNFRSF1B/CD9/FAS/TNFRSF12A/MYD88/MAP3K8/HMOX1/SOCS3/CXCL3/CXCL1/IL2RG/PLA2G2A/IRF1/STAT1/CXCL10/CSF2/CCR1/TNF/PF4/CD38/IL4R/CXCL11/CXCL9,24
HALLMARK_COAGULATION,HALLMARK_COAGULATION,30/492,138/4384,0.21739130434782608,1.937080240367621,3.9765660415526556,2.234274497479586e-4,0.0011916130653224458,8.100878294955225e-4,F12/WDR1/CD9/RABIF/PREP/CFI/ANXA1/TIMP1/GDA/F3/BMP1/MAFF/LRP1/ACOX2/ITGA2/C2/MEP1A/APOC2/DPP4/KLK8/F2RL2/HNF4A/MMP3/TFPI2/APOC3/C8G/MMP7/PF4/PLEK/MMP9,30
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,38/492,200/4384,0.19,1.693008130081301,3.566476448075488,6.300251748622496e-4,0.0030241208393387976,0.0020558716232347094,CD55/LYN/PCSK9/XPNPEP1/RABIF/KIF2A/PREP/TIMP1/PRSS3/LGALS3/F3/MMP12/DGKG/CASP1/CTSS/MAFF/LRP1/PLA2G4A/CTSC/PLAUR/KYNU/CXCL1/IRF1/C2/PLA2G7/JAK2/GZMB/DUSP5/DPP4/S100A9/KLK1/HNF4A/PSMB9/TFPI2/S100A12/APOA4/FCN1/PLEK,38
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,37/492,200/4384,0.185,1.6484552845528455,3.337191007725257,0.0012433594114365039,0.005425568340813835,0.003688434617658529,MALL/AVL9/TNFRSF1B/PLEK2/HKDC1/EPHB2/EMP1/TFPI/PSMB8/CTSS/TSPAN1/RBP4/F2RL1/LIF/PIGR/MMD/PLAUR/IL2RG/ITGA2/PTPRR/CCND2/CCL20/ADAMDEC1/CXCL10/TMEM158/ETV4/CLEC4A/EREG/ADAM8/SERPINA3/TMEM176B/CSF2/SPP1/NR1H4/INHBA/TMEM176A/MMP9,37
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,35/492,199/4384,0.17587939698492464,1.5671855211014423,2.9112923136509665,0.004036487964109343,0.014903955559788344,0.010132075051610498,ANXA4/TNFRSF1B/SLC29A2/SERPINB6/EMP1/GALM/MAP3K8/MAFF/ECM1/LIF/CDCP1/CDC6/TGM2/CTSZ/MXD1/CCND2/BATF/BATF3/BHLHE40/CXCL10/F2RL2/ETV4/TNFRSF9/RRAGD/NT5E/FGL2/CSF2/TNFRSF18/SPP1/SELL/SELP/IL4R/COCH/GPR65/IRF4,35
