category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,17/662,44/9423,0.38636363636363635,5.499553694040099,8.223206825332044,2.3037696822197115e-9,5.213392504301615e-7,4.2954957037322205e-7,949/50487/10999/10555/29881/346606/5320/64240/2168/64241/80168/4547/8694/2169/337/338/84647,17
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,26/662,100/9423,0.26,3.7008761329305138,7.463637352587405,3.1032098239890567e-9,5.213392504301615e-7,4.2954957037322205e-7,6359/7133/3606/58985/53833/6362/2921/2919/3561/1235/3579/6364/3627/2920/414062/6374/1230/6357/7124/10344/5196/6348/6370/6373/8794/4283,26
Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,24/662,99/9423,0.24242424242424243,3.4507003570447683,6.737990330944214,5.490226622338959e-8,6.149053817019634e-6,5.0664196550005134e-6,5724/3880/3426/3866/3875/717/3861/728/2358/3872/9103/2214/3868/3123/2357/6403/3383/3126/1668/54474/3125/1670/1673/1671,24
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,46/662,298/9423,0.15436241610738255,2.1972160830511567,5.772819019335484,2.810309203255031e-7,2.360659730734226e-5,1.9450297906738766e-5,6359/58191/7133/9235/8792/3606/355/51330/58985/4982/10913/53833/3557/6362/2921/3976/3598/10673/2919/3561/23529/1235/8744/8771/3579/6364/3627/2920/414062/6374/27189/3604/1437/8784/1230/6357/7124/10344/5196/6348/6370/3566/6373/8794/3624/4283,46
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,36/662,217/9423,0.16589861751152074,2.3614239770559817,5.5771391611277785,1.0052933397789294e-6,6.0429950550055456e-5,4.979034146198179e-5,9075/1364/6768/6281/140576/3880/1366/57402/10999/3918/9076/11187/3866/3875/144501/3854/1308/9069/3855/1365/137075/11240/26154/24146/6280/6274/3861/286887/6283/3872/1830/3853/3868/1041/6279/54474,36
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,29/662,156/9423,0.1858974358974359,2.6460899372530795,5.698623729635265,1.079106259822419e-6,6.0429950550055456e-5,4.979034146198179e-5,9075/1364/949/578/4940/1366/355/4938/9076/7187/1870/317/3949/9069/9021/1026/1365/137075/4939/1869/9641/24146/6772/91543/3434/3627/4599/8503/7124,29
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,29/662,158/9423,0.18354430379746836,2.612595127920762,5.6189462730426705,1.416953559961768e-6,6.801377087816486e-5,5.603891522856316e-5,11200/9319/890/157570/994/9700/4085/2810/1870/993/23594/699/1111/8318/4998/891/991/6502/9133/701/9232/4173/990/1026/26271/9134/1869/894/81620,29
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,24/662,119/9423,0.20168067226890757,2.8707507172053113,5.64518598592617,2.056447585086757e-6,8.637079857364379e-5,7.116390985234435e-5,7133/355/5606/64285/7187/11035/1326/9021/2921/3976/2919/84699/3659/6364/3627/2920/4314/64127/6374/1437/8503/7124/3383/4318,24
Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,31/662,187/9423,0.1657754010695187,2.3596700970967897,5.16221504212832,5.7708443558223385e-6,2.0863080962804995e-4,1.7189819214341207e-4,4940/3606/260434/4938/7187/4615/11035/5331/10392/2633/834/90550/7226/2635/2921/1535/2919/4939/9641/118429/6772/29108/2920/64127/64170/7124/1668/199713/1670/1673/1671,31
Organismal Systems,Immune system,hsa04657,IL-17 signaling pathway,20/662,94/9423,0.2127659574468085,3.0285402069807805,5.433175140244524,6.2092502865491055e-6,2.0863080962804995e-4,1.7189819214341207e-4,5597/7187/2921/2919/9641/6280/6364/3627/2920/4314/6374/3934/27189/1437/6279/7124/727897/2354/1673/4318,20
