gene,logFC,P.Value,adj.P.Val
LOC100507464,-4.13068495350763,1.0231298837569501e-21,3.006774102384925e-17
DRD5,-3.01020654708391,2.72433507690365e-21,3.212055904867955e-17
CHIA,-4.86161017729114,3.2789464116659403e-21,3.212055904867955e-17
FGA,-1.96080444145573,2.47814169061127e-20,1.5575721009435368e-16
RANBP3L,-1.72150750530266,3.0918086942546303e-20,1.5575721009435368e-16
XYLT2,-1.51445565970223,3.18001653928856e-20,1.5575721009435368e-16
ZNF385B,-1.93018666795235,4.02410696030265e-20,1.6894350764196326e-16
GPER,-2.56558313258407,4.69397266425884e-20,1.724330858215485e-16
GDF5,-3.17563546436903,8.443043754716821e-20,2.7569352207068657e-16
SNORA5A,-4.18261275597742,1.51362106094932e-19,4.448229573917862e-16
SLC26A7,-2.12014189356913,1.8889685022804702e-19,5.046636940456224e-16
PTGER3,-2.64533336678745,8.81717312312806e-19,2.1593256978540616e-15
APLP1,-1.68268076951973,9.82717621535872e-19,2.2143340348864868e-15
PTPLA,-1.91699267713859,1.0687433332350499e-18,2.2143340348864868e-15
FAM165B,-1.72049204387082,1.1906288841742099e-18,2.2143340348864868e-15
TRIM15,2.05371395592621,1.20557181700639e-18,2.2143340348864868e-15
MYBPC3,-1.26424775011339,1.46640281933519e-18,2.53497917968368e-15
XLOC_014356,-2.96245759619487,1.5676062242041e-18,2.5478192158947424e-15
ESRRG,-1.6991517339641,1.6472221689805398e-18,2.5478192158947424e-15
THSD4,-1.53161640429814,1.89226505050225e-18,2.7804942652080064e-15
GPR155,-2.4314159578666,3.2606908539172697e-18,4.512248606026903e-15
CGNL1,-1.79503729906701,3.3778912934732497e-18,4.512248606026903e-15
AQP4,-2.35139808011001,3.7528058565938095e-18,4.795106891894734e-15
MUC17,3.17067947464108,5.17260561446283e-18,6.333855574909735e-15
COBLL1,-0.907159760658044,5.45281352739632e-18,6.409891357724922e-15
MUM1L1,-1.72480191734098,5.7150708443882694e-18,6.459788537495479e-15
FGB,-2.305852461821,7.13408236192572e-18,7.765052313047151e-15
SH3GL2,-2.60550418424659,8.4939815497206e-18,8.799221230639018e-15
FAR2,1.56116027921403,8.683048036223339e-18,8.799221230639018e-15
LOC100506412,-3.48977930390901,1.09592809111301e-17,1.0735711580543046e-14
GRIA4,-1.75935736568253,1.22154215050162e-17,1.1580219586755358e-14
XLOC_003123,-1.98725587350341,1.47761169269078e-17,1.357001638274895e-14
LINGO2,-1.9615339590415,1.55193264466597e-17,1.3820665624679857e-14
XLOC_010144,-3.99352037216403,1.91503227823823e-17,1.655263782143091e-14
CKB,-2.25709476038501,2.12598480876393e-17,1.7850983302844106e-14
KCTD8,-1.96442788205503,2.2578170635442902e-17,1.808566051773829e-14
XLOC_014216,-2.079171241134,2.27701592199645e-17,1.808566051773829e-14
AGXT2L1,-3.36140696565457,2.51776796500326e-17,1.9101477021983993e-14
C11orf86,3.14420559180956,2.56595818553781e-17,1.9101477021983993e-14
MFSD4,-2.31942082581378,2.59990159547897e-17,1.9101477021983993e-14
KIAA1191,-0.895880386573429,2.8024188464585904e-17,2.008719147798172e-14
RAP1GAP,-1.30176041657756,3.85923037323803e-17,2.7003586240171243e-14
PLCXD3,-1.98807116378407,4.38422587791159e-17,2.949791751687387e-14
TMEM184A,-1.87528797771973,4.41645695774619e-17,2.949791751687387e-14
SMARCD3,-1.52807555728369,4.78674535945887e-17,3.1260638360839395e-14
C8orf12,-1.88997546646698,5.16814987582315e-17,3.3017736641454506e-14
TRIM29,2.50045898019868,5.3708074710111604e-17,3.3582402118739574e-14
STX12,-0.824193278760445,7.3483009027234e-17,4.498997227692402e-14
XLOC_004339,-2.48408479334788,1.06595197814397e-16,6.393101374223467e-14
SLC2A12,-2.1874749093578,1.49538458322868e-16,8.78927242638489e-14
FLJ42875,-1.90102244902218,1.60421699451738e-16,9.244064516642501e-14
FGF13,-1.42159164162003,2.19853746593903e-16,1.2425119047887734e-13
FGG,-2.96821296169902,2.58171058832611e-16,1.431534165466561e-13
IGF1R,-0.939083739938948,2.97781898237878e-16,1.6205952639656958e-13
TBC1D14,-0.859201836571852,3.37337376110465e-16,1.8024856016607902e-13
C3orf18,-1.36507558306463,3.66395805094323e-16,1.914241927419822e-13
FLJ37644,-1.4420217219095,3.71280079838471e-16,1.914241927419822e-13
XLOC_001575,-2.52828591473849,3.84610442417409e-16,1.9487813244418648e-13
DUSP19,-1.41313881736132,6.60342175574019e-16,3.2891755687744525e-13
C14orf129,0.821854891464822,7.76992659034528e-16,3.805710043951118e-13
LOC283731,-1.20265844881222,8.370447688167449e-16,4.032634699342049e-13
PDCD6,-1.16235552240841,8.95899772930258e-16,4.2465649236894227e-13
XLOC_006599,-2.67689286863768,9.49993610098148e-16,4.400667388495157e-13
XLOC_003780,-2.07810358751656,9.58359578275793e-16,4.400667388495157e-13
CLIC6,-2.46343895824188,1.1877670681539301e-15,5.370169015216569e-13
XLOC_004638,-2.82024976031487,1.2624772255049201e-15,5.621466773202817e-13
ROBO3,-1.93062933665003,1.3956033118471e-15,6.121491063964565e-13
CCKBR,-2.7562506430464,1.6036716855569801e-15,6.93069169046302e-13
XLOC_001952,-1.59331595576624,1.69523354341167e-15,7.220220778809009e-13
IGFALS,-2.12781121071184,1.8299275918633602e-15,7.682558867097205e-13
XLOC_009894,-2.40442696514673,2.07178215784102e-15,8.575427331638295e-13
EDA,-1.02999784076414,2.11476400755116e-15,8.631761757487986e-13
XLOC_007161,-2.50448837562952,2.5277002768361802e-15,1.017589804598105e-12
VEGFB,-1.08483076419289,2.8572078528110602e-15,1.1346976267352897e-12
REEP5,-0.538213319989309,3.3711546295162803e-15,1.3209532300296594e-12
VIL1,2.9058235508645,3.65263348837996e-15,1.4124156967961878e-12
MAST4,-1.73216805461839,3.893101911763811e-15,1.450585738029005e-12
ALDH6A1,-0.760646990508685,3.89587275608153e-15,1.450585738029005e-12
XLOC_003483,-1.88800059840993,3.8994240269596905e-15,1.450585738029005e-12
DEAF1,-0.734646343956197,4.3222654011123e-15,1.572022697240481e-12
WASF3,-1.47615364811626,4.332851452173641e-15,1.572022697240481e-12
NRTN,-1.5162749719057,4.684428640936441e-15,1.678853523168782e-12
SYNGR1,-1.03674303608834,4.85431935920928e-15,1.718779967812558e-12
TRIM50,-2.7389224027291,5.5584988249143e-15,1.9232494474927994e-12
CLDN2,2.58038581789952,5.56268555318116e-15,1.9232494474927994e-12
CDH2,-2.04312545360002,5.75484259198574e-15,1.9665501638753134e-12
BCAT2,-0.691152519285315,6.209365684961821e-15,2.0974809051684827e-12
LOC100128501,-1.93642553642789,6.298876181533931e-15,2.1035383320786268e-12
FAM161A,-1.12536043160379,7.018325482894251e-15,2.3174668459696206e-12
KIF17,-2.31822262414627,7.81019797448598e-15,2.5502899786021555e-12
ADHFE1,-1.8467112672895,9.044284226792151e-15,2.920806866560085e-12
GPRC5C,-1.12416181054438,9.17580220539294e-15,2.931070382740084e-12
MBIP,-0.581550167993133,9.354016453990691e-15,2.9558691994610587e-12
GUCA1C,-1.80384310080151,1.07002890613912e-14,3.345320158895368e-12
PALM3,-1.56515723565395,1.08571659387772e-14,3.3586357116714145e-12
DHRS2,-1.53418468677588,1.1801379796999301e-14,3.612697390356411e-12
DHFR,1.03916762190568,1.25665077717966e-14,3.785683654371328e-12
LOC728743,-0.903355076353712,1.2624098207717101e-14,3.785683654371328e-12
SLC41A1,-1.10231357169079,1.37805557236454e-14,4.090737086934253e-12
XLOC_l2_004168,-1.3927959911208,1.4775528155138602e-14,4.3422322142321326e-12
SLC16A7,-1.63554177953499,1.57627316144654e-14,4.56284449554165e-12
XLOC_012670,-2.17281061862558,1.58367407971025e-14,4.56284449554165e-12
PGA3,-3.47748480414296,1.6253537662756202e-14,4.621016785242343e-12
UPP1,1.87354150616181,1.64545966042026e-14,4.621016785242343e-12
CKMT2,-2.64898638734739,1.78243037359346e-14,4.941704133883453e-12
KCNK2,-2.58918697232691,1.90235403248854e-14,5.2248953557731975e-12
CEACAM6,2.99473433614626,2.09302017863559e-14,5.6666290252304796e-12
TSPYL4,-0.73361371541186,2.1017509315030702e-14,5.6666290252304796e-12
XLOC_008013,-1.87451114560443,2.26195241277575e-14,6.043114318786704e-12
PDE1B,-1.93496518825173,2.31567139560217e-14,6.1308964841402315e-12
F12,1.80186339496274,2.3621814275648302e-14,6.1981953386852885e-12
AGMAT,1.7353661750758,2.46078739771157e-14,6.3997893844201434e-12
ABHD11-AS1,1.73385468904605,2.53693935144592e-14,6.539962601780061e-12
RPRM,-1.95433969365743,2.98716799017167e-14,7.633642860449134e-12
PLIN5,-2.38514760716832,3.11460808271182e-14,7.890698477132324e-12
FOLR1,-1.89421844658909,3.2535569333984e-14,8.17226762040275e-12
NRBP1,0.583619883244532,3.47458007778726e-14,8.65347112932305e-12
KCNE2,-2.46861733065251,3.80378890948273e-14,9.326504149279663e-12
ZMIZ1,-0.968301650460864,3.80829079186593e-14,9.326504149279663e-12
ARHGEF17,-1.04939314687189,3.9030251572004504e-14,9.432312042157958e-12
GABARAPL1,-1.03438197594915,3.9156869101104903e-14,9.432312042157958e-12
GGA2,-0.749197445737732,4.25064963559126e-14,1.0155942397622435e-11
ABTB2,1.20469075123795,4.31569873641348e-14,1.0227537375067864e-11
XLOC_000682,-0.947084727674917,4.3502183608394e-14,1.0227537375067864e-11
ANGPTL3,-1.24847750506714,4.50284119287046e-14,1.0502341029847387e-11
REXO2,-0.749906951927978,4.6724579099867e-14,1.0812141185723555e-11
FGD4,-0.747396056820187,4.7894483955405105e-14,1.099627417563629e-11
CCDC101,-1.28312413335464,4.9505161070310405e-14,1.1277966461506064e-11
XLOC_001748,-0.890305918955839,5.00322005529315e-14,1.1310356229611931e-11
IRAK2,1.30233808783965,5.08796500024164e-14,1.1414130948633689e-11
TMEM161B,-0.740280892826508,5.4924977037017103e-14,1.2228297160332262e-11
FZD4,-1.04596503336986,5.794969229668999e-14,1.2722478511308233e-11
PAPSS1,-0.719677755475669,5.801048456905211e-14,1.2722478511308233e-11
CHRNA5,1.66284482064654,5.89138251168394e-14,1.2824885129879084e-11
LOC100506452,-1.71919243503402,6.39870530484561e-14,1.3826849374911969e-11
LOC100505754,-1.50642802264629,6.63761062339198e-14,1.415002276584362e-11
ASB11,-0.598029538610379,6.64455948579835e-14,1.415002276584362e-11
TRIM10,1.10849044476364,6.70110278489846e-14,1.4167770405942152e-11
MRGPRX3,-1.75906886290717,7.23278252398888e-14,1.5182643772498943e-11
ME3,-0.848116390708375,8.224662988444761e-14,1.7040428644839027e-11
XLOC_009183,-1.3306651278638,8.23377183737288e-14,1.7040428644839027e-11
GRIN2D,2.37309570278527,8.52015527661041e-14,1.742842824391337e-11
GHR,-1.22265698116803,8.5398586740286e-14,1.742842824391337e-11
LRIG1,-0.879333732971355,8.693288506773699e-14,1.7619197423245896e-11
XLOC_l2_015800,1.92768510851915,8.93246298614334e-14,1.7979946728546608e-11
ANXA2,0.843918262702742,9.05707527360423e-14,1.8106757016372865e-11
PPP2R3A,-1.30170337430561,9.164557691364851e-14,1.8197839286069612e-11
DCAF12L1,-1.06466379907552,9.96221195828714e-14,1.96489587268552e-11
MALL,2.32431188439258,1.01570080421507e-13,1.9899610156181653e-11
GJB2,1.37147441046053,1.06308236240604e-13,2.0689976467807088e-11
YPEL1,-0.743224789058311,1.10654496954543e-13,2.1394173398027037e-11
LDHA,0.9088503521075,1.30968193103923e-13,2.5156165091098625e-11
CELF4,-1.67227726806997,1.31930604718419e-13,2.5176471503018814e-11
CEACAM3,1.94182824037038,1.38760375004401e-13,2.6308967100834434e-11
ADORA2B,2.2754864512179,1.40346991557251e-13,2.6439214024900595e-11
ODZ3,-2.06124223427894,1.41827647874498e-13,2.6547967616151252e-11
LIFR,-1.31861748184686,1.47689994520325e-13,2.747033898078045e-11
XLOC_012240,-2.100080811637,2.02442638420663e-13,3.7417511056015375e-11
XLOC_001589,-1.25177718418349,2.09402208708256e-13,3.846195068448892e-11
SIGLEC11,-1.18475524344488,2.11882799405407e-13,3.86758491237646e-11
CEACAM1,1.28217900695301,2.19794344081188e-13,3.976452807294869e-11
ACOT7,0.951624508605223,2.2055322158332099e-13,3.976452807294869e-11
AGR3,1.06329243895803,2.25430038449095e-13,4.039596323135368e-11
DNAJC6,-1.23974854238726,2.32224095370461e-13,4.1361222513618835e-11
LAMP2,-0.690466523932919,2.4229220298622397e-13,4.289447747806717e-11
CD55,1.65522410351273,2.45109470131141e-13,4.3133395857568694e-11
NOXO1,1.14429090423383,2.57812765590409e-13,4.483990412260195e-11
C8orf84,-1.94405875160086,2.57858438706946e-13,4.483990412260195e-11
LRR1,0.744331099713699,2.69631195670334e-13,4.6611303402116326e-11
GPSM1,-0.781301446537515,2.9136497829099797e-13,5.00738829357652e-11
GPT2,-0.977125426297381,2.95852730149355e-13,5.05495350792398e-11
C14orf37,-1.34701556085943,3.03959821228533e-13,5.163451575875218e-11
ANXA2P3,1.17765460682455,3.08282320245237e-13,5.2067820846936926e-11
XLOC_003296,-2.09511611542689,3.16235548941444e-13,5.3105887498806616e-11
SNORA80,-1.16046492619752,3.26136895610763e-13,5.4457449364824454e-11
GIF,-4.10858365651445,3.34248979248832e-13,5.549666102917895e-11
PPA1,0.649754998320116,3.41160412794193e-13,5.632596747862777e-11
PXMP2,-0.669532719734508,3.71248348332357e-13,6.095109754632015e-11
METTL7A,-0.844365276799115,3.78295434988588e-13,6.176303468580346e-11
XLOC_004446,-1.75170200789188,3.83151343746471e-13,6.216390064677921e-11
BAIAP2L2,1.43737927837056,3.84981282078189e-13,6.216390064677921e-11
PAIP2B,-1.18594985919712,4.16458696060977e-13,6.626603306694227e-11
DNER,-2.35132328813693,4.16625444758122e-13,6.626603306694227e-11
CLDN4,1.33401919273638,4.18512161381429e-13,6.626603306694227e-11
