Cell population,N_Subtype_A,N_Subtype_B,Median_Subtype_A,IQR_Subtype_A,Median_Subtype_B,IQR_Subtype_B,Effect_size_rank_biserial_r,CI95_low,CI95_high,Raw_P,BH_adjusted_P,Direction_Subtype_A_vs_B
Sebocytes,32,39,0.0300625568646516,0.030577673383379196,0.0763005269050843,0.03586836706768585,-0.8926282051282052,-0.9711538461538461,-0.7820112179487182,1.266760127373209e-10,3.2151842742333986e-09,Subtype B higher
Keratinocytes,32,39,0.0282886988554392,0.035196815325430855,0.0834008468192368,0.02823340444105335,-0.8814102564102564,-0.967948717948718,-0.764383012820513,2.1434561828222656e-10,3.2151842742333986e-09,Subtype B higher
Neutrophils,32,39,0.0318260861444531,0.03887241265646635,0.0823658868655895,0.05171837665400025,-0.7644230769230769,-0.8942307692307693,-0.6041266025641028,3.659235249235006e-08,3.6592352492350055e-07,Subtype B higher
Skeletal muscle,32,39,0.04904630908880455,0.03856178926586902,0.0194725262688188,0.021251509126196354,0.7291666666666667,0.5448317307692307,0.8782051282051282,1.5019727345596346e-07,9.594931643930937e-07,Subtype A higher
Mast cells,32,39,0.020552041746947552,0.010356851487078902,0.0099726694275923,0.011001717953148601,0.7275641025641026,0.5384615384615384,0.8846153846153846,1.5991552739884893e-07,9.594931643930937e-07,Subtype A higher
Myocytes,32,39,0.04746490817405695,0.03542344941107018,0.0240731501554876,0.01434465303266155,0.6842948717948718,0.4791666666666667,0.8525641025641025,8.274312222953681e-07,3.7595644852321503e-06,Subtype A higher
Erythrocytes,32,39,0.01945459144134285,0.02623501037683512,0.0494923022852268,0.033230109536115805,-0.6826923076923077,-0.8557892628205128,-0.48717948717948717,8.77231713220835e-07,3.7595644852321503e-06,Subtype B higher
Tgd cells,32,39,0.018911973826324452,0.027970066218001757,0.0407915929024734,0.017317686184224856,-0.6778846153846154,-0.8413461538461539,-0.46474358974358976,1.047182714942889e-06,3.926935181035834e-06,Subtype B higher
Th2 cells,32,39,0.056736063951232305,0.037395683845644345,0.0963292637284597,0.04712322933688655,-0.5480769230769231,-0.7516025641025641,-0.32684294871794917,7.931490978692141e-05,0.0002643830326230714,Subtype B higher
Neurons,32,39,0.04990018921678195,0.02549112220958656,0.0331343781989193,0.017444207555699552,0.5400641025641026,0.3124599358974359,0.7387820512820513,0.00010079111236563079,0.0003014655319989511,Subtype A higher
Pericytes,32,39,0.00630109636822525,0.0104290009977877,0.0172133216329227,0.012441940908344148,-0.5368589743589743,-0.7484375,-0.29803685897435916,0.00011053736173294873,0.0003014655319989511,Subtype B higher
Mesangial cells,32,39,0.025454578592112198,0.0203303626391214,0.0470697069129832,0.035476887645259546,-0.5288461538461539,-0.7324118589743589,-0.30761217948717995,0.0001401985932700194,0.0003504964831750485,Subtype B higher
CMP,32,39,0.017218070207677252,0.013916102363019926,0.0025631085640387,0.00884473531281535,0.4935897435897436,0.25879407051282055,0.7203525641025641,0.0003515939803520076,0.0008113707238892483,Subtype A higher
ly Endothelial cells,32,39,0.09641988738584059,0.043211730682871125,0.0733971564556378,0.03451901415762974,0.47275641025641035,0.23553685897435897,0.6923477564102561,0.000665730343758191,0.0013687304717160894,Subtype A higher
