"Sample","Cluster_numeric","Neighbour_cluster","Silhouette","Cluster","Neighbour_cluster_name"
"GSM3754774",1,2,0.331718650534086,"subtypeA","subtypeB"
"GSM3754776",2,1,0.327490869216983,"subtypeB","subtypeA"
"GSM3754778",2,1,0.428885180647576,"subtypeB","subtypeA"
"GSM3754780",1,2,0.0879546532766992,"subtypeA","subtypeB"
"GSM3754782",2,1,0.298559143938852,"subtypeB","subtypeA"
"GSM3754784",1,2,0.458639700893901,"subtypeA","subtypeB"
"GSM3754786",1,2,0.480327147356254,"subtypeA","subtypeB"
"GSM3754788",2,1,0.102426772689243,"subtypeB","subtypeA"
"GSM3754790",1,2,0.318521111433328,"subtypeA","subtypeB"
"GSM3754792",1,2,0.471751472832906,"subtypeA","subtypeB"
"GSM3754794",2,1,0.0618587932429509,"subtypeB","subtypeA"
"GSM3754796",1,2,0.48975629657998,"subtypeA","subtypeB"
"GSM3754798",1,2,0.471051163209634,"subtypeA","subtypeB"
"GSM3754800",1,2,0.404910912308179,"subtypeA","subtypeB"
"GSM3754802",1,2,0.197550481629282,"subtypeA","subtypeB"
"GSM3754804",2,1,0.197885316556014,"subtypeB","subtypeA"
"GSM3754806",1,2,0.444083872484255,"subtypeA","subtypeB"
"GSM3754808",1,2,0.0164879481696927,"subtypeA","subtypeB"
"GSM3754810",1,2,0.351377985142708,"subtypeA","subtypeB"
"GSM3754812",2,1,0.416812440953275,"subtypeB","subtypeA"
"GSM3754814",1,2,0.44741159177275,"subtypeA","subtypeB"
"GSM3754816",1,2,0.181604922587018,"subtypeA","subtypeB"
"GSM3754818",1,2,0.335620406062551,"subtypeA","subtypeB"
"GSM3754820",1,2,0.493691550582718,"subtypeA","subtypeB"
"GSM3754822",1,2,0.499538278561926,"subtypeA","subtypeB"
"GSM3754824",1,2,0.246216252644181,"subtypeA","subtypeB"
"GSM3754826",1,2,0.123770931771834,"subtypeA","subtypeB"
"GSM3754828",2,1,-0.0971610930576009,"subtypeB","subtypeA"
"GSM3754830",1,2,0.282055887568605,"subtypeA","subtypeB"
"GSM3754832",2,1,0.195016607929756,"subtypeB","subtypeA"
"GSM3754834",2,1,0.32242262934586,"subtypeB","subtypeA"
"GSM3754836",1,2,0.466071854382633,"subtypeA","subtypeB"
"GSM3754838",2,1,0.347559287598762,"subtypeB","subtypeA"
"GSM3754840",2,1,0.189207726024577,"subtypeB","subtypeA"
"GSM3754842",1,2,0.497976357352791,"subtypeA","subtypeB"
"GSM3754844",2,1,0.250038114006641,"subtypeB","subtypeA"
"GSM3754846",2,1,0.353627228846939,"subtypeB","subtypeA"
"GSM3754848",2,1,0.398139064019134,"subtypeB","subtypeA"
"GSM3754850",2,1,0.338661264729873,"subtypeB","subtypeA"
"GSM3754852",1,2,0.251450294156912,"subtypeA","subtypeB"
"GSM3754854",2,1,0.396695394312386,"subtypeB","subtypeA"
"GSM3754856",1,2,0.14749844789163,"subtypeA","subtypeB"
"GSM3754858",1,2,0.412077248841019,"subtypeA","subtypeB"
"GSM3754860",2,1,0.369134091566889,"subtypeB","subtypeA"
"GSM3754862",1,2,0.390154618139036,"subtypeA","subtypeB"
"GSM3754864",1,2,0.47630622602689,"subtypeA","subtypeB"
"GSM3754866",2,1,0.466475531194868,"subtypeB","subtypeA"
"GSM1479658",1,2,0.100065046795697,"subtypeA","subtypeB"
"GSM1479659",2,1,0.312628330633571,"subtypeB","subtypeA"
"GSM1479660",2,1,0.238657819957212,"subtypeB","subtypeA"
"GSM1479661",1,2,-0.126509765516403,"subtypeA","subtypeB"
"GSM1479662",1,2,-0.0497408733518221,"subtypeA","subtypeB"
"GSM1479663",1,2,0.086602879354498,"subtypeA","subtypeB"
"GSM1479664",1,2,0.117517993307007,"subtypeA","subtypeB"
"GSM1479665",2,1,0.26692677025443,"subtypeB","subtypeA"
"GSM1479666",2,1,0.233833218641343,"subtypeB","subtypeA"
"GSM1479667",2,1,0.343232353111725,"subtypeB","subtypeA"
"GSM1479668",2,1,0.245782176498903,"subtypeB","subtypeA"
"GSM1479669",2,1,0.337754381928157,"subtypeB","subtypeA"
"GSM1479674",1,2,0.169947904748669,"subtypeA","subtypeB"
"GSM1479675",2,1,0.0138132961167912,"subtypeB","subtypeA"
"GSM1479676",2,1,0.145379642388248,"subtypeB","subtypeA"
"GSM1479677",2,1,0.183152483848776,"subtypeB","subtypeA"
"GSM1479678",2,1,0.080058733239561,"subtypeB","subtypeA"
"GSM1479679",2,1,0.0783061052058106,"subtypeB","subtypeA"
"GSM1479680",2,1,0.243511303607799,"subtypeB","subtypeA"
"GSM1479681",2,1,0.219997282935976,"subtypeB","subtypeA"
"GSM1479682",2,1,0.338126832174511,"subtypeB","subtypeA"
"GSM1479683",2,1,0.30629273453021,"subtypeB","subtypeA"
"GSM1479684",2,1,0.276571019117633,"subtypeB","subtypeA"
"GSM1479685",2,1,0.306869853776453,"subtypeB","subtypeA"
